Rank,Name,Analytical Interior Defensive Lineman Score (AIS),Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
55,A'Shawn Robinson,50.2,47.4,71.4,14.3,5.1,83.7,62.2,52,51,99,84.7,96.9
56,Folorunso Fatukasi,49.9,50,31.6,38.8,76.5,7.7,83.7,28.6,97.4,59.2,41.8,88.8
57,Ross Blacklock,49.2,52,84.7,48,60.2,41.8,22.4,79.6,0,3.1,41.8,1
58,Tershawn Wharton,48.6,60.2,90.8,44.9,5.1,66.3,4.1,72.4,40.3,2,96.9,7.1
59,Austin Johnson,48.1,34.7,41.8,45.9,33.7,57.1,89.3,38.8,45.4,80.6,41.8,90.8
60,Nathan Shepherd,47.7,81.1,25.5,23.5,100,7.7,46.9,61.2,25.5,17.3,41.8,23.5
61,Grover Stewart,46.9,42.3,59.2,49,32.7,20.4,75.5,42.9,83.7,29.6,41.8,54.1
62,Milton Williams,45.6,44.4,52.6,25.5,65.3,45.9,19.4,50,59.2,57.7,41.8,63.3
63,Jarran Reed,45.4,20.9,27.6,80.6,61.7,42.9,45.9,34.7,7.1,61.2,100,68.4
64,Adam Gotsis,45.3,32.1,33.7,17.3,78.6,81.6,37.8,54.1,88.8,16.3,41.8,40.3
65,Al Woods,45.3,32.1,34.7,46.9,35.7,35.7,85.7,29.6,88.8,63.3,41.8,82.7
66,Jaleel Johnson,43.8,62.2,75.5,13.3,53.1,7.7,32.7,57.1,40.3,27.6,41.8,29.6
67,Malik Jackson,43.3,29.6,43.9,75.5,58.2,17.3,40.8,36.7,51,22.4,41.8,25.5
68,Lawrence Guy Sr.,41.4,25,22.4,19.4,69.4,46.9,70.4,33.7,40.3,96.9,41.8,86.7
69,DeShawn Williams,40.9,47.4,55.1,16.3,64.3,32.7,17.3,48,1.5,81.6,41.8,37.8
70,Davon Godchaux,40.1,29.6,21.4,40.8,48,19.4,82.7,21.4,34.2,82.7,85.7,62.2
71,Nnamdi Madubuike,40,26.5,14.3,35.7,41.8,71.4,35.2,20.4,92.3,76.5,41.8,81.6
72,Malcom Brown,34,18.4,17.3,39.8,22.4,59.2,94.9,18.4,25.5,35.7,41.8,26.5
73,DaVon Hamilton,32.1,25,52.6,2,21.4,34.7,68.4,32.7,18.9,55.1,41.8,51
74,Rakeem Nunez-Roches,31.6,23.5,38.8,30.6,37.8,7.7,5.1,25.5,99,14.3,99,31.6
75,Hassan Ridgeway,31.3,42.3,29.6,11.2,54.1,54.1,2,35.7,3.1,25.5,41.8,3.1
76,Alim McNeill,31.3,27.6,26.5,3.1,20.4,70.4,38.8,26.5,75.5,32.7,41.8,41.8
77,Brandon Williams,29.7,17.3,19.4,41.8,30.6,7.7,50,16.3,64.8,41.8,41.8,57.1
78,Nick Williams,29.7,20.9,24,51,10.2,18.4,53.1,17.3,86.7,11.2,41.8,2
79,Roy Lopez,29.3,16.3,11.2,21.4,31.6,29.6,66.3,13.3,90.8,31.6,41.8,45.9
80,Corey Peters,29,37.2,35.7,12.2,19.4,7.7,35.2,19.4,45.4,56.1,41.8,67.3
81,Johnathan Hankins,27.5,12.8,10.2,53.1,23.5,7.7,86.7,8.2,51,9.2,41.8,10.2
82,Bryan Mone,27.1,8.2,5.1,18.4,38.8,67.3,43.9,14.3,34.2,39.8,41.8,60.2
83,Eddie Goldman,26.7,40.3,45.9,4.1,5.1,37.8,28.6,24.5,13.8,28.6,41.8,11.2
84,Derrick Nnadi,25.8,3.6,18.4,15.3,29.6,84.7,12.2,23.5,7.1,73.5,41.8,43.9
85,Shamar Stephen,25.5,5.6,20.4,8.2,88.8,7.7,11.2,27.6,30.6,46.9,41.8,38.8
86,Josh Tupou,25,35.7,37.8,9.2,15.3,28.6,7.1,22.4,59.2,1,41.8,6.1
87,Teair Tart,24.8,14.3,7.1,31.6,40.8,7.7,41.8,11.2,94.4,5.1,41.8,4.1
88,Michael Brockers,23.2,3.6,8.2,42.9,5.1,22.4,90.8,3.1,18.9,38.8,41.8,33.7
89,Christian Covington,22.5,9.2,4.1,29.6,13.3,24.5,60.2,6.1,5.1,75.5,90.8,17.3
90,Jordan Elliott,22.1,10.7,13.3,28.6,46.9,25.5,23.5,15.3,1.5,23.5,41.8,8.2
91,Raekwon Davis,21.7,15.3,2,24.5,17.3,30.6,54.6,7.1,13.8,36.7,41.8,52
92,Shy Tuttle,20.9,1,12.2,27.6,12.2,7.7,27.6,10.2,51,90.8,41.8,92.9
93,Carlos Watkins,18.8,12.8,6.1,26.5,5.1,26.5,31.6,4.1,40.3,30.6,41.8,36.7
94,Tyeler Davison,17.8,7.1,9.2,22.4,5.1,7.7,54.6,2,40.3,34.7,41.8,44.9
95,Levi Onwuzurike,16.2,19.4,1,7.1,5.1,33.7,29.6,1,13.8,50,41.8,32.7
96,Tyler Lancaster,16.1,10.7,15.3,1,5.1,7.7,10.2,9.2,59.2,69.4,41.8,77.6
97,Leki Fotu,14.2,2,3.1,5.1,18.4,7.7,9.2,5.1,92.3,6.1,98,28.6
98,Justin Ellis,10.3,5.6,16.3,10.2,5.1,7.7,3.1,12.2,18.9,7.1,41.8,18.4
