Rank,Name,Analytical EDGE Score (AES),Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
1,Nick Bosa,85.5,86.8,95.6,92.1,77.2,78.1,92.1,84.2,88.6,56.6,92.1,64.9
2,T.J. Watt,82.3,76.3,100.0,87.7,92.1,37.7,95.6,96.5,84.6,61.4,96.5,65.8
3,Maxx Crosby,82.2,100.0,55.3,100.0,90.4,100.0,18.0,93.0,88.6,71.9,99.1,85.5
4,Myles Garrett,81.4,93.0,93.0,99.1,85.1,81.6,40.4,83.3,75.4,36.0,93.0,19.3
5,Rashan Gary,81.4,78.1,84.2,98.2,47.4,99.1,75.0,95.6,70.6,76.3,100.0,75.0
6,Joey Bosa,80.0,81.6,73.7,94.7,100.0,96.5,99.1,57.0,40.8,36.8,94.7,24.6
7,Marcus Davenport,79.8,71.5,90.4,96.1,38.6,89.0,98.2,61.4,59.6,93.9,90.4,97.4
8,Von Miller,78.4,78.9,80.7,97.4,72.8,97.4,38.6,55.3,96.5,43.9,97.4,72.4
9,Danielle Hunter,78.0,98.2,83.3,96.1,93.0,90.4,18.0,26.3,2.2,94.7,85.1,48.2
10,Trey Hendrickson,74.8,75.4,96.5,89.0,49.1,91.2,89.5,78.9,56.1,2.6,98.2,1.8
11,Jadeveon Clowney,74.7,83.3,86.0,54.4,78.5,70.2,78.1,71.1,73.2,55.3,81.6,60.1
12,Chandler Jones,74.2,89.5,77.2,75.9,93.9,17.5,97.4,89.5,91.7,44.7,36.8,54.4
13,Shaquil Barrett,73.8,91.2,69.3,79.4,50.9,92.1,82.5,75.4,3.9,73.7,89.5,51.8
14,Charles Harris,70.8,65.8,56.1,90.8,94.7,75.4,62.3,54.4,35.5,79.8,69.3,88.6
15,Preston Smith,70.6,68.9,64.9,85.1,46.5,95.6,72.8,37.3,67.1,78.9,86.8,76.8
16,Robert Quinn,70.1,57.9,99.1,73.7,89.5,41.2,93.0,21.1,79.4,37.7,72.8,41.7
17,Matthew Judon,69.6,55.3,92.1,73.7,96.5,86.8,18.0,90.4,31.6,32.5,95.6,39.0
18,Cameron Jordan,69.5,95.6,79.8,36.8,71.9,27.2,65.8,60.5,86.4,95.6,36.0,96.5
19,Leonard Floyd,68.6,86.0,76.3,84.2,83.3,82.5,36.0,16.7,14.5,42.1,66.7,30.3
20,Markus Golden,66.7,53.5,89.5,75.9,59.6,43.9,93.9,68.4,40.8,57.9,68.4,62.7
21,Harold Landry III,65.2,90.4,86.8,18.0,79.8,63.2,36.8,65.8,19.3,66.7,78.9,43.9
22,Josh Hines-Allen,65.1,73.7,57.9,69.3,69.3,68.4,44.7,62.3,11.8,96.5,67.5,85.5
23,Emmanuel Ogbah,65.0,87.7,71.1,46.5,40.4,58.8,45.6,78.1,63.2,70.2,71.1,78.1
24,Khalil Mack,64.4,58.8,93.9,81.6,78.5,89.0,18.0,2.2,50.4,12.3,79.8,15.4
25,Jonathan Greenard,63.7,32.5,97.4,81.6,66.7,32.5,90.4,93.9,25.9,50.9,80.7,36.4
26,Dawuane Smoot,63.5,66.7,50.9,81.6,53.5,73.7,49.1,72.4,59.6,64.0,75.4,56.6
27,Alex Highsmith,63.4,80.7,57.0,67.5,97.4,18.4,39.5,42.1,63.2,87.7,22.8,91.7
28,Randy Gregory,63.3,59.6,58.8,86.0,26.3,80.7,88.2,98.2,45.6,28.9,91.2,33.8
29,Sam Hubbard,63.3,96.5,53.9,36.0,81.6,44.7,55.3,31.6,40.8,89.5,37.7,95.6
30,Haason Reddick,62.7,72.8,94.7,39.5,98.2,28.1,41.2,40.4,11.8,71.1,45.6,58.8
31,Josh Sweat,62.6,62.3,75.4,71.1,56.1,65.8,50.0,29.8,59.6,51.8,64.0,62.7
32,Everson Griffen,62.0,97.4,48.2,93.9,60.5,59.6,59.6,58.3,0.9,1.8,57.0,2.6
33,John Franklin-Myers,62.0,70.2,38.6,86.8,74.6,87.7,46.5,64.9,56.1,13.2,78.1,19.3
34,Chase Young,62.0,94.7,12.3,63.2,84.2,35.1,88.2,48.2,98.2,67.5,26.3,82.5
35,Andrew Van Ginkel,61.9,33.3,63.2,54.4,88.2,66.7,42.1,100.0,63.2,78.1,93.9,85.5
36,Tyus Bowser,61.8,39.5,78.9,64.0,64.0,64.0,64.5,63.2,67.1,53.5,74.6,62.7
37,Denico Autry,61.2,82.5,81.6,71.9,34.2,74.6,18.0,34.2,50.4,19.3,76.3,21.1
38,Brian Burns,60.5,74.6,60.5,37.7,86.0,46.1,63.2,79.8,73.2,22.8,58.8,30.3
39,Odafe Oweh,59.9,77.2,30.7,62.3,29.8,76.3,91.2,72.4,25.9,82.5,70.2,72.4
40,Yannick Ngakoue,59.1,93.9,52.6,51.8,68.4,52.6,60.5,67.5,27.6,7.9,57.9,5.7
41,Montez Sweat,58.7,85.1,50.0,43.9,67.5,22.8,86.8,81.6,40.8,58.8,31.6,46.1
42,Melvin Ingram III,58.5,60.5,27.2,78.1,41.7,71.9,73.7,73.7,93.4,45.6,63.2,68.4
43,Justin Houston,56.4,64.0,44.7,73.7,24.6,33.3,53.5,92.1,56.1,92.1,49.1,94.7
44,Julian Okwara,55.8,12.3,88.6,65.8,19.3,55.3,75.0,70.2,94.7,56.6,77.2,79.8
45,Ogbo Okoronkwo,54.6,4.4,68.4,83.3,4.4,93.4,96.5,59.6,91.7,28.1,88.6,66.7
46,Dante Fowler Jr.,54.6,44.7,49.1,49.6,43.9,49.1,94.7,44.7,86.4,74.6,42.1,79.8
47,Trevis Gipson,54.5,18.4,98.2,43.9,57.0,56.1,100.0,7.9,50.4,43.0,73.7,27.6
48,Carlos Dunlap,53.7,34.2,91.2,65.8,8.8,48.2,57.9,43.9,19.3,90.4,65.8,70.2
49,Tyquan Lewis,52.7,57.0,46.1,54.4,45.6,61.4,18.0,38.6,79.4,69.3,50.9,88.6
50,Azeez Ojulari,52.7,61.4,78.1,13.6,70.2,40.4,43.9,25.4,82.9,27.2,38.6,56.6
51,Greg Rousseau,52.4,25.4,36.8,51.8,54.4,83.3,52.6,58.3,56.1,99.1,71.9,100.0
52,Mario Addison,51.9,36.8,64.0,60.5,7.0,84.2,83.3,4.4,50.4,64.9,56.1,68.4
53,Samson Ebukam,51.8,49.1,67.5,49.6,25.4,53.5,48.2,24.6,40.8,86.8,43.9,88.6
54,Jacob Martin,51.5,50.0,25.4,60.5,82.5,78.9,76.3,12.3,93.4,4.4,40.4,7.9
55,Kwity Paye,51.5,67.5,33.3,68.4,57.9,57.0,51.8,35.1,27.6,31.6,41.2,46.1
56,Darrell Taylor,51.3,40.4,74.6,30.3,36.0,47.4,56.1,76.3,79.4,39.5,61.8,53.5
57,Uchenna Nwosu,51.3,56.1,31.6,30.3,86.8,36.0,68.4,87.7,75.4,41.2,46.5,39.0
58,Frank Clark,51.1,88.6,21.9,30.3,62.3,51.8,66.7,69.3,40.8,23.7,47.4,24.6
59,Lorenzo Carter,50.9,43.9,51.8,30.3,75.4,72.8,79.8,22.8,22.8,59.6,54.4,21.9
60,Jerry Hughes,50.9,42.1,24.6,90.8,27.2,98.2,78.9,27.2,70.6,3.5,87.7,3.5
61,Dorance Armstrong,49.9,52.6,59.6,34.2,52.2,57.9,18.0,66.7,3.9,85.1,61.8,56.6
62,Al-Quadin Muhammad,49.9,68.9,43.9,41.7,88.2,28.9,43.0,37.3,70.6,16.7,27.2,15.4
63,Bryce Huff,49.3,51.8,61.4,89.0,44.7,11.4,18.0,85.1,40.8,24.6,28.1,33.8
64,DeMarcus Walker,48.2,43.0,14.0,57.9,50.0,62.3,58.8,86.8,22.8,86.0,60.5,72.4
65,Malik Reed,47.5,79.8,43.0,15.4,99.1,19.3,71.1,21.9,7.0,35.1,15.8,9.2
66,Deatrich Wise Jr.,47.2,36.0,35.5,60.5,55.3,46.1,54.4,28.1,28.9,92.1,32.5,91.7
67,D.J. Wonnum,46.6,99.1,37.7,15.4,91.2,26.3,37.7,18.4,2.2,14.0,20.2,9.2
68,Rasheem Green,46.6,84.2,47.4,6.6,80.7,9.6,18.0,52.6,35.5,60.5,14.9,51.8
69,Derek Barnett,45.7,71.5,10.5,57.0,73.7,21.1,18.0,80.7,45.6,63.2,21.9,39.0
70,Charles Omenihu,44.5,13.2,16.7,93.0,17.5,93.4,64.5,86.0,5.7,49.1,86.0,41.7
71,Jaelan Phillips,44.3,54.4,82.5,38.6,11.4,30.7,18.0,50.9,22.8,46.5,39.5,27.6
72,Carl Nassib,43.3,7.0,42.1,43.9,13.2,64.9,85.1,33.3,67.1,100.0,51.8,98.7
73,Zach Allen,42.8,63.2,22.8,19.7,76.3,3.5,18.0,74.6,50.4,88.6,11.4,93.9
74,Arden Key,42.5,19.3,85.1,65.8,0.9,31.6,18.0,99.1,8.3,38.6,82.5,17.1
75,Anthony Nelson,41.6,10.5,71.9,46.5,2.6,36.8,18.0,88.6,88.6,54.4,59.6,68.4
76,Terrell Lewis,41.2,37.7,40.8,21.5,37.7,79.8,71.9,11.0,67.1,9.6,48.2,12.7
77,Stephen Weatherly,40.8,14.9,65.8,48.2,18.4,54.4,18.0,32.5,56.1,62.3,50.0,62.7
78,Yetur Gross-Matos,40.6,14.0,72.8,30.3,30.7,20.2,77.2,2.2,97.4,40.4,12.3,79.8
79,Trey Flowers,40.5,50.9,7.9,51.8,64.9,0.9,80.7,14.0,31.6,84.2,1.8,91.7
80,Tarell Basham,40.3,47.4,23.7,41.7,41.7,42.1,50.9,51.8,35.5,52.6,33.3,33.8
81,Carl Granderson,40.3,31.6,29.4,56.1,33.3,69.3,18.0,56.1,70.6,21.1,55.3,24.6
82,Whitney Mercilus,40.1,30.7,46.1,79.4,31.6,34.2,18.0,13.2,79.4,21.9,24.6,33.8
83,Jason Pierre-Paul,39.6,92.1,21.1,0.9,52.2,24.6,47.4,20.2,82.9,6.1,13.2,4.4
84,Boogie Basham,38.6,21.1,87.7,6.6,20.2,60.5,18.0,2.2,22.8,75.4,44.7,51.8
85,Austin Bryant,38.2,28.9,70.2,24.1,48.2,10.5,18.0,6.1,50.4,72.8,9.6,75.0
86,Bud Dupree,36.6,64.9,35.5,11.4,12.3,29.8,61.4,39.5,11.8,48.2,28.9,36.4
87,Kyler Fackrell,35.3,22.8,40.8,77.2,36.8,14.9,69.3,11.0,35.5,5.3,8.8,7.0
88,Quincy Roche,34.9,26.3,39.5,9.6,39.5,23.7,67.5,9.6,31.6,92.1,14.0,85.5
89,A.J. Epenesa,34.6,23.7,17.5,58.8,6.1,43.0,18.0,94.7,75.4,26.3,53.5,56.6
