Rank,Name,Analytical EDGE Score (AES),Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
90,Chauncey Golston,34.6,21.9,14.9,70.2,21.1,71.1,18.0,17.5,63.2,25.4,35.1,48.2
91,Clelin Ferrell,33.5,5.3,66.7,40.4,3.5,50.0,18.0,97.4,0.0,8.8,83.3,17.1
92,Kerry Hyder Jr.,33.1,46.5,7.0,35.1,28.5,13.2,18.0,82.5,31.6,83.3,16.7,76.8
93,Jordan Jenkins,33.1,16.7,62.3,30.3,32.5,21.9,18.0,28.9,63.2,29.8,23.7,30.3
94,Jonathon Cooper,32.9,27.2,29.4,24.1,23.7,38.6,18.0,36.0,16.2,98.2,29.8,91.7
95,K'Lavon Chaisson,32.6,1.8,18.4,22.8,43.0,94.7,18.0,47.4,45.6,30.7,84.2,50.0
96,Alton Robinson,32.5,8.8,6.1,16.7,28.5,77.2,70.2,50.0,90.4,33.3,52.6,48.2
97,Mike Danna,32.0,35.1,28.1,30.3,21.9,12.3,81.6,77.2,22.8,15.8,19.3,14.0
98,Ronald Blair III,30.7,45.6,5.3,3.5,65.8,2.6,18.0,49.1,50.4,80.7,6.1,81.6
99,Benson Mayowa,30.2,7.9,11.4,18.0,63.2,86.0,18.0,14.9,79.4,14.9,43.0,24.6
100,Joe Tryon-Shoyinka,29.7,38.6,26.3,21.5,10.5,39.5,18.0,43.0,19.3,65.8,30.7,30.3
101,Shaq Lawson,28.7,41.2,13.2,8.8,71.1,16.7,18.0,23.7,84.6,10.5,10.5,12.7
102,Jonathan Garvin,27.8,15.8,19.3,25.4,14.9,85.1,18.0,53.5,17.5,11.4,64.9,10.5
103,Steven Means,27.4,48.2,1.8,7.9,95.6,7.0,18.0,5.3,11.8,34.2,0.9,43.9
104,Derrek Tuszka,26.9,2.6,53.9,26.3,7.9,1.8,86.0,19.3,9.6,47.4,7.0,60.1
105,Devon Kennard,26.7,0.9,1.8,10.5,9.6,67.5,18.0,46.5,95.6,97.4,34.2,98.7
106,Alex Okafor,25.8,20.2,9.6,30.3,16.7,25.4,57.0,41.2,14.5,68.4,17.5,39.0
107,Ryan Kerrigan,24.7,11.4,20.2,46.5,5.3,50.9,18.0,8.8,99.1,0.9,25.4,0.9
108,Kyle Phillips,24.2,29.8,15.8,19.7,61.4,8.8,18.0,45.6,8.3,7.0,7.9,24.6
109,James Smith-Williams,22.3,28.1,34.2,12.3,15.8,5.3,18.0,7.0,79.4,17.5,5.3,11.4
110,Jihad Ward,21.4,17.5,32.5,4.4,35.1,14.0,18.0,64.0,5.7,18.4,18.4,5.7
111,Tarron Jackson,20.7,6.1,8.8,13.6,1.8,7.9,84.2,2.2,50.4,77.2,2.6,83.3
112,Adetokunbo Ogundeji,18.9,24.6,3.5,5.3,58.8,6.1,18.0,15.8,40.8,20.2,3.5,19.3
113,Casey Toohill,17.0,9.6,4.4,2.6,14.0,15.8,18.0,91.2,16.2,50.0,21.1,43.9
114,Brandon Copeland,14.8,3.5,1.8,1.8,22.8,4.4,18.0,30.7,31.6,81.6,4.4,72.4
