Rank,Name,Analytical Cornerback Score (ACS),Coverage Snaps per Reception,QB Rating Against,Yards Allowed per Snap,Forced Incompletion Rate,Interceptions,Catch Rate Allowed,Missed Tackle Rate,Penalties per Snap,TDs Allowed per Snap,Coverage Snaps,Slot Coverage Snaps,Tackles
113,Eli Apple,26,7.1,25.2,2.4,52,52.4,39.4,7.9,24.4,18.1,29.3,78.9,59.4
114,Essang Bassey,24.8,49.6,11.8,59.1,20.5,18.5,5.1,0.8,49.6,64.6,3.7,26.2,2.4
115,Emmanuel Forbes,23.6,10.2,7.9,0,89.8,52.4,46.5,39.4,28.3,5.5,18.7,61.3,48
116,Cameron Mitchell,23.6,26.4,11,60.6,14.2,18.5,12.6,3.1,96.5,21.7,1.3,28.9,2.4
117,Kristian Fulton,23.3,37,5.5,11.8,18.9,18.5,15,31.9,16.5,36.2,29.9,82.4,33.1
118,Kindle Vildor,23,67.7,3.9,3.1,11,18.5,54.7,83.1,37.4,14.2,11.2,74.6,5.5
119,Shaun Wade,22.6,23.6,30.7,16.5,28.3,18.5,30.3,42.1,81.9,60.6,1.9,52.7,14.2
120,Dee Alford,21.5,7.1,22,21.3,37.8,18.5,20.5,20.9,50.8,26.8,21.8,18,41.7
121,Marco Wilson,21,7.1,2.4,0.8,16.5,18.5,9.4,45.7,40.9,13.4,31.7,92.2,59.4
122,Starling Thomas V,20.9,2,0.8,1.6,59.1,18.5,3.9,94.9,29.9,0.8,7.2,92.2,33.1
123,Tre Herndon,20.6,9.4,9.4,19.7,66.5,18.5,7.9,14.2,89,31.5,26.7,12.5,53.1
124,Montaric Brown,19.6,15,10.2,7.9,56.3,18.5,32.3,6.7,96.5,12.6,18.7,92.2,25.2
125,Tre Avery,19.6,0.8,1.6,4.7,33.1,18.5,11.8,96.9,2.4,0,1.6,92.2,25.2
126,Tavierre Thomas,16.8,3.1,18.1,13.4,8.3,18.5,2.4,44.1,22.8,66.1,4,26.2,48
127,Tre Hawkins III,14.7,33.1,0,6.3,17.7,18.5,3.1,51.2,6.3,7.9,1.6,58.6,12.2
128,Damarri Mathis,14.4,13.8,3.1,9.4,3.9,18.5,15,20.9,15.7,4.7,8.3,80.9,10.6
