Rank,Name,Analytical Score,Sacks per Snap,Interceptions per Snap,QB Rating Against,Snap Count,Forced Fumbles per Snap,Missed Tackle Rate
1,Vonn Bell,82.2,88.7,71.1,81.4,94.8,76.3,43.3
2,Tashaun Gipson Sr.,80.4,67,83.5,94.8,93.3,26.8,97.9
3,Tyrann Mathieu,75.3,70.1,67,90.7,82.5,57.7,60.3
4,Derwin James Jr.,75,95.9,58.8,82.5,58.8,86.6,55.2
5,Talanoa Hufanga,74.8,82.5,73.2,58.8,91.8,77.3,20.1
6,Juan Thornhill,71.9,66,62.9,79.4,97.9,26.8,55.2
7,Jayron Kearse,71.3,85.6,57.7,77.3,59.8,66,95.9
8,Rayshawn Jenkins,69.1,64.9,61.9,59.8,99,75.3,7.2
9,C.J. Gardner-Johnson,69,77.3,96.9,72.2,51,26.8,17.5
10,Jevon Holland,68.8,83.5,64.9,43.3,89.7,55.7,43.3
11,Andre Cisco,67,69.1,66,66,84,26.8,43.3
12,Quandre Diggs,65.9,32,72.2,92.8,93.3,26.8,18.6
13,Darrick Forrest,65.8,32,88.7,89.7,48.5,90.7,77.3
14,Donovan Wilson,65.1,96.9,30.9,55.2,80.4,59.8,24.7
15,Kevin Byard,64,32,76.3,73.2,87.6,26.8,92.3
16,Harrison Smith,63.9,32,90.7,70.6,69.6,60.8,58.2
17,John Johnson III,63.5,72.2,33,75.3,74.2,80.4,16
18,Minkah Fitzpatrick,63.4,32,94.8,83.5,60.8,26.8,63.9
19,Kyle Dugger,62.4,79.4,82.5,42.3,41.2,72.2,50
20,Grant Delpit,62.3,32,78.4,80.4,76.3,26.8,56.7
21,Eddie Jackson,62.1,32,92.8,87.1,35.1,93.8,36.6
22,Marcus Williams,61.1,32,93.8,95.9,34,26.8,90.2
23,Jalen Pitre,60.5,71.1,86.6,25.8,77.3,26.8,3.1
24,Duron Harmon,59.9,32,48.5,85.6,75.3,79.4,40.2
25,Rodney Thomas II,59.4,32,91.8,91.8,37.6,26.8,58.2
26,Jessie Bates III,59.2,32,74.2,44.3,90.7,54.6,70.1
27,Kerby Joseph,58.9,32,85.6,61.9,52.6,89.7,46.4
28,Antoine Winfield Jr.,58.4,99,37.1,34,46.4,71.1,95.9
29,Malik Hooker,57.7,32,69.1,67,72.2,26.8,88.7
30,Jordan Poyer,57.7,32,84.5,63.9,56.2,67,29.4
31,Nasir Adderley,57.6,32,59.8,87.1,54.6,68,43.3
32,Julian Love,57.5,68,44.3,39.2,85.6,26.8,67
33,Devin McCourty,57.2,32,77.3,50.5,78.4,26.8,87.6
34,Jaylinn Hawkins,56.8,32,56.7,84.5,62.9,63.9,13.4
35,Damontae Kazee,56.5,32,99,96.9,5.2,26.8,99
36,Jaquan Brisker,56.5,93.8,35.1,32,61.9,64.9,21.6
37,Ryan Neal,56.2,78.4,39.2,52.6,42.3,92.8,35.1
38,Xavier Woods,55.7,73.2,15.5,70.6,71.1,26.8,51.5
39,Dane Belton,55.1,32,89.7,93.8,16.5,26.8,66
40,Justin Simmons,54,32,100,36.6,43.3,99,11.3
41,Taylor Rapp,53.4,32,53.6,68.6,67,26.8,82.5
42,Caden Sterns,53.3,32,97.9,97.9,6.2,26.8,1.5
43,Brandon Jones,52.6,100,15.5,60.8,10.3,95.9,60.3
44,Richie Grant,52.5,32,46.4,55.2,81.4,58.8,31.4
45,Jimmie Ward,52.4,32,87.6,53.6,29.9,74.2,68.6
46,Jordan Whitehead,52.1,32,45.4,64.9,84,26.8,16
47,Reed Blankenship,51.3,32,68,76.3,11.3,94.8,90.2
48,Justin Reid,50.7,63.9,15.5,33,100,26.8,27.8
49,Mike Edwards,50.2,76.3,60.8,19.6,53.6,26.8,14.4
50,Rodney McLeod,50.1,32,50.5,51.5,73.2,26.8,75.3
51,Josh Metellus,49.6,32,79.9,88.7,3.6,26.8,78.4
52,Verone McKinley III,49,32,81.4,99,1,26.8,5.7
53,Adrian Amos,48.1,74.2,34,14.4,68,26.8,74.2
54,Nick Scott,47.8,32,52.6,29.9,69.6,83.5,36.6
55,Xavier McKinney,47.2,90.7,15.5,21.6,32,96.9,79.4
56,Eric Rowe,47.2,97.9,15.5,17.5,28.9,100,64.9
57,Joshua Kalu,46.7,32,51.5,68.6,22.7,82.5,62.4
58,DeShon Elliott,46.4,32,36.1,56.7,49.5,69.1,84.5
59,Camryn Bynum,46.4,32,42.3,18.6,95.9,26.8,82.5
60,Ronnie Harrison,46.3,92.8,15.5,74.2,2.1,26.8,43.3
61,Rudy Ford,46.2,32,95.9,28.9,18.6,88.7,33
62,Chuck Clark,46.1,32,15.5,41.2,88.7,56.7,80.4
63,Logan Ryan,46.1,32,55.7,57.7,21.6,84.5,86.6
64,Budda Baker,45.6,32,54.6,27.8,63.9,62.9,47.9
65,DeAndre Houston-Carson,45.1,32,63.9,78.4,17.5,26.8,26.3
66,Kyle Hamilton,44.8,91.8,15.5,16.5,26.8,97.9,62.4
67,Amani Hooker,44.8,32,49.5,62.9,23.7,81.4,50
68,Lamarcus Joyner,44.4,32,75.3,30.9,51,26.8,23.2
69,Jonathan Owens,43.4,75.3,15.5,13.4,65.5,26.8,68.6
70,Terrell Edmunds,42.6,86.6,15.5,9.3,56.2,26.8,47.9
71,Jalen Thompson,42.5,32,32,24.7,79.4,26.8,95.9
72,Damar Hamlin,41.8,87.6,15.5,6.2,47.4,70.1,1.5
73,Jeremy Chinn,41.6,81.4,15.5,36.6,33,26.8,29.4
74,Kamren Curl,40.6,80.4,15.5,15.5,40.2,26.8,92.3
75,Keanu Neal,40.5,84.5,43.3,10.3,25.8,26.8,12.4
76,Jaquan Johnson,39.7,32,79.9,46.4,3.6,26.8,53.6
77,Jason Pinnock,39.7,94.8,15.5,4.1,20.6,85.6,34
78,Bobby McCain,38.4,32,15.5,35.1,65.5,61.9,31.4
79,Dean Marlowe,37.8,32,70.1,49.5,9.3,26.8,8.2
80,Marcus Epps,37.5,32,15.5,1,96.9,53.6,38.7
81,Kareem Jackson,36.6,32,15.5,20.6,86.6,26.8,10.3
82,Darnell Savage,36.2,32,38.1,38.1,45.4,26.8,5.7
83,Marcus Maye,36.1,32,15.5,48.5,30.9,73.2,72.7
84,Adrian Phillips,34.2,32,15.5,47.4,36.1,26.8,85.6
85,Alohi Gilman,34.1,32,47.4,11.3,24.7,78.4,72.7
86,Bryan Cook,33.1,89.7,15.5,2.1,14.4,26.8,52.6
87,Andrew Adams,32.8,32,40.2,26.8,39.2,26.8,4.1
88,Justin Evans,30.3,32,15.5,40.2,13.4,91.8,26.3
89,Julian Blackmon,30,32,41.2,3.1,37.6,26.8,71.1
90,Jabrill Peppers,29.6,32,15.5,45.4,15.5,26.8,93.8
91,Tre'von Moehrig,28.7,32,15.5,8.2,57.7,26.8,38.7
92,Geno Stone,27,32,15.5,22.7,19.6,87.6,9.3
93,Myles Hartsfield,26.1,32,15.5,12.4,44.3,26.8,20.1
94,Johnathan Abram,25.1,32,15.5,23.7,27.8,26.8,23.2
95,Roderic Teamer,18.8,32,15.5,5.2,7.2,26.8,82.5
96,P.J. Williams,17.7,32,15.5,0,8.2,26.8,76.3
97,Josh Jones,17.4,32,15.5,7.2,12.4,26.8,0
