Rank,Name,Analytical Score,Yards per Route Run,Receiving YPG,First Downs per Route Run,Air Yards,TDs per Route Run,Yards per Target Over Expectation,Slot Rate,Yards After Catch per Reception,Contested Catch %,QB Rating When Targeted,Missed Tackles Forced per Reception
1,Ja'Marr Chase,89.4,94.1,96.6,84.3,91.5,95.8,97.5,85.6,96.6,20.3,93.2,94.9
2,Cooper Kupp,88,100,100,98.3,83.1,99.2,95.8,18.6,87.3,47.5,94.1,69.9
3,Davante Adams,87.1,97.5,99.2,99.6,90.7,92.4,86.9,52.5,77.1,17.8,84.7,67.4
4,Antonio Brown,86.7,98.3,94.5,99.6,67.4,93.2,60.2,80.1,63.6,87.3,78.8,86
5,Justin Jefferson,86.6,95.8,98.3,95.8,100,85.6,78.4,55.9,61.4,69.5,81.4,25
6,Deebo Samuel,84.5,99.2,97.5,93.2,69.5,72.9,99.6,56.8,100,28.4,74.6,98.3
7,Tee Higgins,83.1,91.5,94.5,94.1,88.6,71.6,86.9,72.9,45.3,51.3,79.7,64
8,Tyler Lockett,81.7,93.2,93.2,69.1,94.1,86.4,94.1,39,47.5,94.9,89.8,16.9
9,Mike Williams,79.8,85.6,89.8,75,81.8,83.1,76.3,87.3,81.8,34.7,80.5,37.3
10,A.J. Brown,78,94.9,86.4,97.5,99.2,81.4,47.5,47.5,38.6,34.7,52.5,44.1
11,Diontae Johnson,77.5,79.2,91.5,82.2,89.8,74.6,34.7,98.3,74.6,41.5,49.2,90.7
12,Tyreek Hill,77.2,89,92.4,96.6,92.4,82.2,42.4,27.1,49.2,43.6,61.9,69.9
13,DeAndre Hopkins,76.8,73.7,74.6,87.3,81.8,98.3,72.9,89.8,26.3,20.3,99.2,64
14,Michael Pittman,76.6,84.7,83.1,85.6,79.7,63.6,68.6,82.2,48.3,81.4,63.6,44.1
15,Stefon Diggs,75.6,80.5,90.7,89.8,86.4,83.9,38.6,70.3,19.5,49.2,54.2,86
16,CeeDee Lamb,75.1,88.1,85.2,88.6,58.1,66.9,80.1,38.1,81.8,66.1,50.8,93.2
17,DK Metcalf,75,81.4,73.7,82.2,93.2,97.5,19.1,78.8,58.5,34.7,68.6,67.4
18,Chris Godwin,73.9,87.3,95.8,88.6,43.2,50.8,86.9,13.6,89.8,92.8,75.4,64
19,Deonte Harris,73.2,96.6,54.2,91.9,45.3,78.8,91.9,50,94.1,77.5,14.4,95.8
20,Henry Ruggs,72.8,89.8,87.3,51.7,62.3,50,99.6,36.9,72,87.3,94.9,86
21,Mike Evans,72.7,63.1,83.9,78.8,67.4,96.6,63.1,50.8,27.1,94.1,90.7,49.6
22,Hunter Renfrow,71.8,83.1,78,82.2,33.5,88.1,81.8,17.8,64.4,83.9,88.1,77.5
23,Robert Woods,71.5,75.8,78.8,94.9,48.3,75.4,72.9,35.6,66.9,77.5,73.7,37.3
24,D.J. Moore,70.1,78,88.1,84.3,96.6,37.3,25,81.4,71.2,56.8,13.6,64
25,Brandin Cooks,70.1,82.2,85.2,69.1,94.9,65.3,50.4,48.3,41.5,42.4,59.3,30.5
26,Russell Gage,68.7,83.9,71.2,80.5,72.9,59.3,65.3,30.5,50,71.6,46.6,86
27,DeVonta Smith,68,79.2,69.5,75,95.8,61,44.9,94.9,16.1,12.7,64.4,30.5
28,Amari Cooper,67.8,63.1,76.3,75,64.4,84.7,60.2,60.2,25.4,40.3,87.3,81.8
