Rank,Name,Analytical Score,Yards per Route Run,Receiving YPG,First Downs per Route Run,Air Yards,TDs per Route Run,Yards per Target Over Expectation,Slot Rate,Yards After Catch per Reception,Contested Catch %,QB Rating When Targeted,Missed Tackles Forced per Reception
29,Adam Thielen,67.6,56.4,72,66.9,61,94.9,50.4,68.6,40.3,90.7,91.5,37.3
30,Terry McLaurin,66.3,73.7,79.7,62.3,98.3,48.3,38.6,61,50.8,73.7,36.4,44.1
31,Kendrick Bourne,65.8,86.4,58.5,40.7,28.4,71.6,98.3,45.8,94.9,77.5,97.5,77.5
32,Brandon Aiyuk,65.4,67.8,61,59.7,51.7,62.7,89.8,65.7,93.2,28.4,86.4,93.2
33,Christian Kirk,64.9,77.1,77.1,66.9,71.2,51.7,83.1,3.4,28.8,91.5,82.2,20.3
34,Keenan Allen,64.7,73.7,89,90.7,72,53.4,50.4,19.5,23.3,40.3,56.8,14
35,Jaylen Waddle,64,65.3,82.2,86.4,54.2,60.2,60.2,22.9,61.4,58.1,42.4,55.1
36,Amon-Ra St. Brown,62.7,72,68.6,79.7,50.8,55.1,68.6,9.3,68.2,71.6,67.8,44.1
37,Elijah Moore,62.4,70.8,62.3,59.7,75.8,87.3,19.1,58.9,72.9,45.8,20.8,55.1
38,Corey Davis,61.9,66.5,70.3,65.3,77.1,79.7,38.6,67.8,28,25.4,11,77.5
39,Chase Claypool,60.2,64.4,75.4,50.4,78,22.9,60.2,77.5,76.3,51.3,28.8,73.3
40,A.J. Green,60.1,58.5,67.8,50.4,70.3,31.8,72.9,95.8,36.9,66.9,47.5,81.8
41,Gabriel Davis,59.4,60.2,37.7,75,39,89.8,47.5,53.8,51.7,87.3,78,37.3
42,Darnell Mooney,58.9,66.5,80.5,64,88.6,40.7,38.6,33.9,68.2,7.6,20.8,55.1
43,Kadarius Toney,58.6,90.7,50,91.9,22.9,4.7,72.9,21.6,92.4,87.3,34.3,100
44,Julio Jones,58.4,70.8,53.4,56.8,62.3,23.7,76.3,71.2,33.9,97.5,32.2,88.6
45,Cedrick Wilson,57.3,69.1,43.2,59.7,20.3,89,91.9,0.4,88.6,15.7,96.6,83.9
46,Randall Cobb,56.6,56.4,28.8,78,14.4,94.1,93.2,7.2,79.2,45.8,100,77.5
47,Jarvis Landry,56.6,69.1,60.2,77.1,53,35.2,34.7,23.7,80.5,99.2,8.5,59.7
48,DeVante Parker,56.3,49.2,65.3,71.2,85.6,31.8,21.6,94.1,13.6,62.3,41.5,30.5
49,Marquez Callaway,55.4,50.8,49.2,46.2,75.8,76.3,44.9,76.3,15.3,62.3,61,7.6
50,Byron Pringle,55,44.9,34.7,66.9,25.8,73.7,89,20.3,65.7,96.2,95.8,73.3
51,Tyler Boyd,54.4,52.1,66.1,48.7,34.7,54.2,90.7,0.4,84.3,68.2,70.3,59.7
52,Marquise Brown,54.3,52.1,81.4,34.7,84.7,52.5,16.1,55.1,55.1,27.1,40.7,49.6
53,Calvin Ridley,53.8,39,72.9,64,97.5,58.5,5.9,72.9,12.3,8.5,16.9,69.9
54,Tim Patrick,53.8,44.1,56.8,56.8,55.1,56.8,65.3,66.9,45.3,24.6,71.6,37.3
55,DeSean Jackson,53.4,92.4,23.7,27.1,27.1,57.6,96.6,64.4,99.2,11.4,55.1,44.1
56,Donovan Peoples-Jones,52.9,42.4,50.8,32.6,63.6,43.2,76.3,80.1,65.7,87.3,37.3,55.1
57,Jerry Jeudy,52,75.8,57.6,72.9,60.2,4.7,56.4,7.2,73.7,15.7,35.6,77.5
58,T.Y. Hilton,50.7,46.6,33.9,40.7,45.3,77.1,63.1,72.9,11,62.3,85.6,37.3
59,Jauan Jennings,50,49.2,8.9,62.3,11.9,100,50.4,26.3,62.7,99.2,83.1,93.2
60,Michael Gallup,50,36.4,63.6,48.7,65.3,35.2,19.1,99.2,31.4,62.3,44.9,37.3
61,Van Jefferson,48.9,46.6,59.3,24.6,53,64.4,56.4,49.2,59.7,20.3,65.3,20.3
62,Allen Lazard,48.7,29.2,36,44.1,33.5,91.5,65.3,32.2,75.4,49.2,98.3,30.5
63,Quez Watkins,48.3,61,44.1,37.3,41.5,11.9,94.9,14.8,90.7,77.5,45.8,81.8
64,Mecole Hardman,48.2,54.7,48.3,54.7,22,25.4,84.3,28.8,98.3,5.1,69.5,96.6
65,Sterling Shepard,47.9,57.6,66.9,71.2,47,24.6,42.4,12.7,24.6,45.8,11.9,64
66,Nick Westbrook-Ikhine,47.8,40.7,24.6,46.2,31.8,69.5,68.6,43.2,52.5,77.5,89,49.6
67,Josh Reynolds,47.7,42.4,33.1,54.7,55.9,44.1,21.6,89,46.6,62.3,39,73.3
68,Jakobi Meyers,47.2,54.7,64.4,59.7,74.2,20.3,30.1,16.1,8.9,71.6,25.4,7.6
69,Marquez Valdes-Scantling,46.7,46.6,47.5,30.5,80.5,61.9,13.6,57.6,84.3,3.4,31.4,3.4
70,Braxton Berrios,45.6,59.3,22,71.2,6.4,44.9,53.4,11,79.2,96.2,50,49.6
71,Marvin Jones,45.2,35.2,62.3,42.8,83.9,39,11.4,61.9,1.7,55.9,28,10.6
72,Danny Amendola,44.8,53.4,27.1,34.7,31.8,90.7,30.1,11.9,56.8,87.3,58.5,3.4
73,Odell Beckham,44.6,32.2,44.9,37.3,67.4,68.6,8.9,77.5,34.7,49.2,17.8,25
74,Emmanuel Sanders,44.2,30.5,55.1,32.6,58.1,47.5,38.6,83.1,2.5,43.6,62.7,7.6
75,Laquon Treadwell,44,49.2,40.7,53.4,44.1,17.8,44.9,69.5,32.6,53.8,38.1,37.3
76,K.J. Osborn,44,33.1,45.8,18.6,38.1,80.5,68.6,31.4,29.7,62.3,71.6,20.3
77,Courtland Sutton,42.8,39.8,55.9,34.7,87.3,19.5,13.6,93.2,3.8,23.3,16.1,25
78,Kalif Raymond,42.2,26.3,39.8,27.1,49.2,49.2,56.4,51.7,85.6,20.3,66.9,44.1
79,Tre'Quan Smith,41.9,26.3,37.7,24.6,40.3,55.9,53.4,29.7,35.6,92.8,77.1,81.8
80,Bryan Edwards,41.3,19.5,39,16.5,36.9,33.1,72.9,63.6,86.4,58.1,76.3,90.7
81,Rashod Bateman,41.1,28,51.7,46.2,36.9,10.2,60.2,83.9,32.6,71.6,22.9,25
82,Rondale Moore,38.6,61.9,28,46.2,0.8,21.2,78.4,8.5,97.5,1.3,33.1,97.5
83,Sammy Watkins,37.6,42.4,32.2,30.5,35.6,18.6,47.5,90.7,55.9,15.7,26.3,25
84,Jalen Guyton,36.5,17.8,22.9,15.3,16.5,41.5,86.9,65.7,69.9,34.7,83.9,88.6
85,Kenny Golladay,36.5,31.4,41.5,40.7,78.8,4.7,10.2,75.4,21.2,23.3,3.4,49.6
86,Zay Jones,36.1,38.1,31.4,52.5,50,11,25,62.7,43.2,9.7,7.6,59.7
87,Nelson Agholor,34,21.2,29.7,21.2,59.3,42.4,16.1,97.5,5.9,26.3,23.7,30.5
88,Keelan Cole,33.3,33.9,25.4,24.6,42.4,15.3,68.6,88.1,16.9,13.6,22,3.4
89,Laviska Shenault,33.2,35.2,46.6,37.3,24.6,4.7,34.7,24.6,91.5,2.5,12.7,90.7
90,Jamal Agnew,33.1,29.2,18.6,56.8,10.6,29.7,28,14.8,78,77.5,48.3,14
91,DeAndre Carter,32.2,21.2,7.6,39,21.2,67.8,16.1,44.9,20.3,77.5,53.4,30.5
92,Chris Conley,32.1,16.5,14,14.4,12.7,39.8,81.8,53.8,88.6,34.7,57.6,64
93,Josh Palmer,32.1,23.7,15.3,30.5,13.6,78,30.1,41.5,14.4,53.8,55.9,10.6
94,Jamison Crowder,31.9,22.9,42.4,22,29.7,28.8,32.6,4.2,53.4,82.6,30.5,55.1
95,Freddie Swain,31.7,14,14,5.1,4.2,66.1,84.3,16.9,95.8,34.7,92.4,55.1
96,Cole Beasley,31.5,37.3,52.5,42.8,18.6,9.3,42.4,2.5,44.1,11.4,29.7,16.9
97,Nico Collins,31.2,24.6,30.5,27.1,47,13.6,25,86.4,40.3,15.7,19.5,10.6
98,Allen Robinson,29.7,21.2,36,28.8,74.2,14.4,7.6,46.6,6.8,29.7,2.5,30.5
99,Marquise Goodwin,29.4,26.3,16.9,13.1,23.7,22,38.6,92.4,54.2,53.8,15.3,16.9
100,Olamide Zaccheaus,26.8,18.6,19.5,22.9,19.5,45.8,56.4,36.9,12.3,20.3,39.8,3.4
101,Antoine Wesley,26.3,7.6,1.7,7.2,9.3,70.3,19.1,96.6,17.8,34.7,60.2,69.9
102,Robby Anderson,24.5,6.8,26.3,10.6,67.4,46.6,0.8,42.4,10.2,4.2,5.1,37.3
103,Darius Slayton,23.5,11.9,21.2,8.9,56.8,30.5,4.2,84.7,3.8,6.4,4.2,3.4
104,Demarcus Robinson,23.3,1.7,4.2,2.5,10.6,38.1,13.6,91.5,5.1,99.2,72.9,55.1
105,Damiere Byrd,22.4,10.2,12.7,13.1,6.4,12.7,80.1,33.1,57.6,34.7,51.7,14
106,Chester Rogers,20.6,14,11,8.9,7.6,16.1,53.4,5.1,30.5,87.3,44.1,44.1
107,James Washington,19.9,8.5,11.9,1.7,25.8,33.9,11.4,39.8,18.6,77.5,27.1,14
108,Jalen Reagor,19.5,3.4,8.9,3.8,28.4,26.3,4.2,74.6,59.7,9.7,10.2,77.5
109,Devin Duvernay,19,2.5,5.9,5.9,1.7,28,32.6,25.4,69.9,62.3,66.1,20.3
110,Tavon Austin,18.9,16.5,5.1,19.9,16.5,27.1,8.9,28,7.6,62.3,1.7,73.3
111,Adam Humphries,18.5,9.3,17.8,17.8,17.8,4.7,25,10.2,42.4,82.6,6.8,25
112,Albert Wilson,18.4,15.3,2.5,11.9,2.5,4.7,25,34.7,83.1,34.7,24.6,99.2
113,Tyler Johnson,18,12.7,16.1,7.2,5.1,4.7,30.1,44.1,38.6,34.7,34.3,49.6
114,Rashard Higgins,17.6,11,10.2,19.9,30.5,16.9,1.7,40.7,0.8,53.8,9.3,3.4
115,Zach Pascal,16.7,5.1,20.3,3.8,40.3,36.4,6.8,5.9,23.3,6.4,18.6,10.6
116,Tajae Sharpe,15.5,4.2,3.4,10.6,8.5,4.7,25,58.9,8.9,68.2,43.2,3.4
117,Ray-Ray McCloud,11.2,5.9,6.8,16.5,15.3,4.7,2.5,1.7,22,34.7,5.9,59.7
118,Terrace Marshall,5.3,0.8,0.8,0.8,3.4,4.7,4.2,21.6,36.9,1.3,0.8,20.3
