Rank,Name,Analytical Tight End Score (ATES),First Downs per Route Run,Receiving Yards per Game,Yards per Route Run,Missed Tackles Forced per Reception,Drop Rate,Run Block Grade,Yards per Target Over Expectation,Yards After Catch per Reception,Pass Block Grade,TDs per Route Run,Contested Catch Rate
1,Travis Kelce,89,100,100,100,100,22.7,75,84.1,84.1,84.1,97.7,36.4
2,Dallas Goedert,86.2,97.7,97.7,97.7,56.8,77.3,56.8,100,100,50,47.7,14.8
3,George Kittle,85.3,86.4,90.9,93.2,75,81.8,95.5,84.1,88.6,25,100,79.5
4,Mark Andrews,77.3,95.5,95.5,95.5,31.8,36.4,97.7,44.3,18.2,70.5,65.9,25
5,David Njoku,75.6,88.6,84.1,79.5,80.7,29.5,50,73.9,79.5,86.4,56.8,44.3
6,Jordan Akins,75.5,78.4,63.6,87.5,95.5,56.8,45.5,97.7,95.5,56.8,90.9,89.8
7,Pat Freiermuth,75.1,84.1,88.6,87.5,80.7,42,69.3,44.3,43.2,81.8,20.5,27.3
8,T.J. Hockenson,73.2,78.4,93.2,84.1,75,51.1,63.6,35.2,54.5,36.4,61.4,65.9
9,Kyle Pitts,70.6,93.2,70.5,90.9,31.8,84.1,47.7,4.5,65.9,75,59.1,33
10,Evan Engram,68.2,47.7,86.4,75,56.8,67,72.7,70.5,90.9,52.3,45.5,54.5
11,Will Dissly,67.2,81.8,37.5,68.2,85.2,42,84.1,95.5,72.7,64.8,79.5,84.1
12,Cole Kmet,66.4,62.5,59.1,55.7,85.2,71.6,86.4,73.9,81.8,72.7,93.2,10.2
13,Tyler Higbee,60.7,72.7,72.7,70.5,56.8,20.5,34.1,40.9,75,54.5,40.9,33
14,Colby Parkinson,59,53.4,22.7,81.8,20.5,94.3,88.6,84.1,86.4,77.3,54.5,6.8
15,Darren Waller,58.9,67,81.8,77.3,20.5,51.1,28.4,63.6,2.3,18.2,75,44.3
16,Dalton Schultz,55,50,75,59.1,43.2,34.1,92,21.6,13.6,34.1,77.3,73.9
17,Juwan Johnson,53.5,53.4,55.7,52.3,89.8,27.3,52.3,52.3,27.3,64.8,95.5,4.5
18,Isaiah Likely,52.6,58,37.5,64.8,89.8,17,100,26.1,34.1,15.9,68.2,56.8
19,Gerald Everett,52.2,44.3,68.2,43.2,97.7,17,22.7,26.1,77.3,88.6,50,61.4
20,Noah Fant,51.5,58,50,55.7,10.2,87.5,38.6,58,40.9,44.3,70.5,29.5
21,Austin Hooper,50.5,90.9,43.2,64.8,10.2,38.6,20.5,58,9.1,2.3,36.4,77.3
22,Foster Moreau,49.8,62.5,47.7,40.9,67,5.7,11.4,63.6,97.7,79.5,29.5,69.3
23,Jelani Woods,49.4,72.7,25,72.7,67,12.5,36.4,30.7,52.3,9.1,88.6,93.2
24,Zach Ertz,47.6,67,77.3,34.1,20.5,54.5,31.8,14.8,4.5,6.8,72.7,61.4
25,Hunter Henry,47.6,38.6,52.3,47.7,31.8,63.6,25,77.3,68.2,59.1,27.3,20.5
26,Robert Tonyan,47.2,40.9,45.5,61.4,39.8,87.5,17,52.3,50,13.6,31.8,61.4
27,Kylen Granson,47,72.7,34.1,50,47.7,45.5,6.8,68.2,31.8,29.5,5.7,89.8
28,Dawson Knox,46.3,31.8,65.9,31.8,39.8,12.5,92,52.3,36.4,61.4,81.8,44.3
29,Hayden Hurst,45.4,44.3,55.7,27.3,67,67,65.9,30.7,15.9,22.7,25,52.3
30,Greg Dulcich,45.4,34.1,79.5,45.5,67,9.1,2.3,63.6,46.6,4.5,34.1,69.3
31,Noah Gray,43.9,36.4,18.2,38.6,56.8,77.3,61.4,84.1,93.2,27.3,18.2,20.5
32,C.J. Uzomah,42.2,22.7,13.6,29.5,47.7,94.3,79.5,93.2,70.5,40.9,52.3,97.7
33,Tyler Conklin,42.1,29.5,61.4,36.4,31.8,47.7,42,35.2,59.1,20.5,38.6,86.4
34,Daniel Bellinger,38.9,25,29.5,23.9,4.5,71.6,81.8,84.1,56.8,38.6,43.2,97.7
35,Cade Otton,32.7,18.2,40.9,14.8,31.8,31.8,69.3,21.6,38.6,95.5,22.7,10.2
36,Trey McBride,30.2,15.9,20.5,20.5,14.8,94.3,17,38.6,29.5,100,13.6,81.8
37,Cameron Brate,28.4,9.1,15.9,9.1,93.2,77.3,42,2.3,22.7,93.2,5.7,20.5
38,Harrison Bryant,28.2,20.5,11.4,18.2,75,2.3,77.3,14.8,20.5,90.9,15.9,44.3
39,Mo Alie-Cox,26.1,6.8,9.1,6.8,56.8,59.1,28.4,47.7,63.6,68.2,63.6,73.9
40,Jack Stoll,25.7,4.5,4.5,4.5,4.5,94.3,59.1,90.9,46.6,47.7,5.7,97.7
41,Mike Gesicki,23.3,27.3,27.3,23.9,14.8,5.7,13.6,18.2,11.4,44.3,86.4,14.8
42,Tommy Tremble,21.5,11.4,6.8,11.4,25,25,54.5,8,25,97.7,84.1,44.3
43,Logan Thomas,19.7,13.6,31.8,14.8,4.5,61.4,4.5,11.4,6.8,11.4,11.4,44.3
44,Tre' McKitty,10.4,2.3,2.3,2.3,47.7,0,9.1,8,61.4,31.8,5.7,2.3
