Rank,Name,Analytical Wide Receiver Score (AWRS),Air Yards,Yards per Route Run,Yards After Catch per Reception,Team TD %,First Downs per Route Run,Contested Catch %,QB Rating When Targeted,Yards per Target Over Expectation,Slot Rate,Receiving YPG,Catch Rate
95,Nelson Agholor,23.8,35.7,34.8,71.3,32.2,7,30.4,24.3,16.1,53,15.7,29.6
96,Michael Gallup,23.2,56.1,11.7,14.8,50,27.8,23.9,9.6,4.3,98.3,30.4,10.9
97,Hunter Renfrow,22.7,10.4,19.6,52.2,32.2,32.6,8.7,14.3,40.9,0,36.5,76.5
98,Brandon Powell,22.2,1.7,19.6,98.3,4.3,15.7,46.5,36.5,24.8,30.4,1.7,94.3
99,Jarvis Landry,22,20.9,38.3,10.4,21.3,25.7,46.5,17.4,27.4,12.2,29.6,52.6
100,Justin Watson,20.7,21.7,25.2,51.3,10.9,8.7,4.3,47,50,52.2,11.3,1.7
101,Isaiah McKenzie,20.3,13,19.6,22.6,42.6,48.3,6.5,44.3,27.4,5.2,23.5,50
102,Ben Skowronek,19.8,29.1,9.6,40,4.3,5.2,67.4,14.3,17.8,36.5,20.4,55.2
103,Chase Claypool,18.9,52.6,15.7,30,16.5,21.3,42.2,3,6.5,16.5,28.7,22.6
104,Tyquan Thornton,18.5,49.6,4.3,21.7,38.7,8.7,46.5,19.1,2.2,76.5,12.2,3.5
105,Quez Watkins,17,12.2,8.7,46.1,34.8,4.3,2.6,30.4,34.8,8.7,13.9,56.5
106,Robby Anderson,16.8,38.3,7.4,67.8,18.7,3,6.5,11.3,6.5,85.2,10.4,0.9
107,Shi Smith,16.3,8.7,7.4,63.5,38.7,10.9,3.5,10.4,53,7,9.6,18.3
108,Elijah Moore,15.4,34.3,6.1,11.3,16.5,8.7,17.8,27.8,10.4,34.8,22.6,28.7
109,A.J. Green,13.8,19.1,0.9,7.8,47,3,38.7,5.2,3.5,90,7.8,7.8
110,Phillip Dorsett,13.4,17.4,10.4,33,14.8,6.1,17.8,6.1,9.1,83.5,8.7,2.6
111,Scott Miller,13.1,16.1,14.3,1.7,4.3,12.6,56.5,13,0.9,73.9,4.3,16.1
112,Dante Pettis,13,14.8,5.2,27.4,51.7,1.7,6.5,37.4,13.9,37.4,6.1,4.8
113,David Bell,12.1,4.3,1.7,17.8,4.3,0.9,30.4,0.9,31.3,10.4,5.2,79.1
114,Braxton Berrios,11.8,2.6,3,81.7,4.3,10.9,67.4,4.3,5.2,17.4,0.9,13.9
115,Marquez Callaway,10.7,7.8,3,7,9.6,21.3,30.4,1.7,2.2,96.5,2.6,6.1
