Rank,Name,Analytical Cornerback Score (ACS),Coverage Snaps per Reception,QB Rating Against,Yards Allowed per Snap,Forced Incompletion Rate,Interceptions,Catch Rate Allowed,Missed Tackle Rate,Penalties per Snap,TDs Allowed per Snap,Coverage Snaps,Slot Coverage Snaps,Tackles
1,Casey Hayward Jr.,81.7,100,82.2,97.5,69.5,46.2,96.6,78,63.6,83.1,79.5,92.9,39
2,A.J. Terrell,81.1,99.2,98.3,99.2,100,84.3,99.2,51.7,60.2,58.5,57.5,50.4,61
3,Rasul Douglas,79.2,89,99.2,92.4,78.8,97,93.6,47,33.5,71.2,44.9,92.9,71.6
4,Jamel Dean,78.6,83.1,94.1,87.3,60.6,69.5,91.5,90.7,31.4,91.5,58.8,63.9,87.3
5,Darius Slay,78.2,80.9,81.4,84.7,66.5,84.3,67.8,68.2,70.3,64,64.4,92.9,79.2
6,D.J. Reed,76.5,98.3,93.2,94.9,76.3,69.5,93.6,26.3,46.6,78.8,63,66.8,83.9
7,Denzel Ward,75.5,67.4,84.7,86.4,64,84.3,64.4,83.5,54.7,53.8,51.2,76.5,45.3
8,Eric Stokes,74,80.9,78.4,76.3,92.4,46.2,95.3,71.2,72.9,50.8,72.8,92.9,83.9
9,Adoree' Jackson,73.3,91.1,86.4,96.6,84.7,46.2,86.4,78,94.1,72,45.9,48.7,71.6
10,Charvarius Ward,72.7,61.4,85.6,67.8,93.2,69.5,95.3,83.5,44.1,45.8,59.6,79.8,93.2
11,Eli Apple,71.4,92.4,40.7,83.9,73.3,69.5,68.6,37.3,26.3,30.5,100,45.4,79.2
12,Levi Wallace,70.2,71.2,66.9,70.3,39.8,84.3,70.3,55.9,13.6,39.8,75.1,71.8,75.4
13,Cameron Dantzler,69.3,79.2,89.8,93.2,64,46.2,91.5,69.5,85.6,69.5,36.1,61.3,48.7
14,Amani Oruwariye,68.4,79.2,95.8,51.7,55.9,98.3,71.2,41.5,7.6,76.3,51.9,92.9,53.8
15,Jalen Ramsey,67.6,53,67.8,45.8,91.1,93.6,65.3,57.6,16.1,50,91.1,20.2,98.3
16,Pat Surtain II,67.3,45.8,91.5,57.6,73.3,93.6,78.8,47,79.7,55.1,51.6,71.8,64
17,Tavierre Thomas,67.3,91.1,88.6,98.3,41.9,69.5,48.7,61.4,84.7,59.3,28.3,10.1,39
18,Taron Johnson,64.6,86,77.1,83.1,52.5,46.2,82.2,30.5,40.7,81.4,68.4,0.8,81.4
19,Steven Nelson,63.9,83.1,23.7,77.1,56.8,46.2,30.5,96.6,48.3,49.2,66.4,92.9,61
20,Chidobe Awuzie,63.7,39.8,74.2,39,62.7,84.3,83.1,58.5,76.3,43.2,77.6,46.6,96.2
21,David Long Jr.,63.7,77.1,76.3,73.7,24.2,69.5,47.5,39.4,78.8,90.7,48.1,61.3,75.4
22,Kristian Fulton,63.1,94.1,83.1,61,91.1,69.5,97.5,23.7,38.1,74.6,50.1,55,48.7
23,Tre'Davious White,62.8,74.2,94.9,89.8,70.3,46.2,89.8,15.3,4.2,96.2,31.4,71.8,20.8
24,Carlton Davis III,62.5,88.1,74.2,88.1,95.8,46.2,87.3,2.5,12.7,53.8,51.2,56.3,45.3
25,Bryce Hall,62.5,71.2,33.9,69.5,98.3,15.7,72,98.7,30.5,23.7,72.6,92.9,91.9
26,David Long Jr.,62,77.1,76.3,73.7,24.2,69.5,47.5,39.4,78.8,90.7,48.1,28.6,75.4
27,William Jackson III,61.9,96.2,53.4,91.5,86.9,69.5,73.3,11.9,5.9,21.2,45.6,58,32.2
28,Kendall Fuller,61.7,26.7,63.6,66.1,81.4,46.2,39.8,68.2,88.1,68.6,69.7,31.1,99.2
29,Emmanuel Moseley,61.3,45.8,80.5,71.2,83.9,46.2,69.5,33.5,47.5,89.8,45.7,85.7,81.4
30,Xavien Howard,60.6,84.7,66.1,43.2,47.5,97,80.5,28.8,41.5,16.9,68.6,41.6,39
31,Patrick Peterson,60.5,89.8,64.8,81.4,50.8,46.2,76.7,12.7,65.3,56.8,54,68.9,27.5
32,Trevon Diggs,60.2,65.3,90.7,2.5,65.3,100,84.7,66.9,5.1,39,74.3,41.6,61
33,Rashad Fenton,60.1,61.4,61,90.7,88.6,15.7,29.2,96.6,22.9,86.4,34.4,43.7,66.9
34,James Bradberry,59.9,65.3,39.8,55.9,89.8,93.6,46.6,19.5,58.5,11,75.9,47.9,53.8
35,Nate Hobbs,59.4,74.2,55.1,94.1,20.3,46.2,3.4,28.8,66.9,92.4,60.8,1.7,61
36,Janoris Jenkins,59.2,69.1,44.5,74.6,27.5,46.2,60.6,47,25.4,33.9,69.8,59.7,50.8
37,Ahkello Witherspoon,59.1,96.2,97.5,63.6,74.6,84.3,98.3,0,94.1,77.1,10.4,92.9,0.8
38,Greedy Williams,58.7,42.8,88.6,44.9,94.9,69.5,75.4,63.1,50.8,84.7,29.9,84.5,39
39,J.C. Jackson,58.7,49.6,96.6,30.5,75.4,99.2,91.5,5.9,45.8,60.2,60.5,35.3,53.8
40,Anthony Brown,58.6,31.8,70.3,26.3,66.5,93.6,78,42.8,59.3,28,78.5,33.6,94.9
41,Dane Jackson,58.3,97.5,72.9,89,60.6,15.7,73.3,39.4,32.2,96.2,29.4,79.8,10.6
