Rank,Name,Analytical Running Back Score (ARBS),Explosive Run %,Attempts per Game,Receiving Yards per Game,Yards Before Contact per Run,Touchdowns per Game,Missed Tackles Forced per Attempt,PFF Pass Blocking Grade,Stuffed Run %
1,Jonathan Taylor,83.3,89.6,98.7,76.6,87.0,96.1,71.4,14.3,74.7
2,Dalvin Cook,81.1,96.1,97.4,64.9,90.9,62.3,71.4,59.1,24.7
3,Nick Chubb,79.5,94.8,89.6,40.3,74.0,83.1,93.5,97.4,46.1
4,Christian McCaffrey,78.4,85.7,83.1,100.0,81.2,43.5,48.1,68.8,58.4
5,Austin Ekeler,74.0,64.3,76.6,98.7,61.7,99.4,31.8,70.1,64.9
6,Darrell Henderson,73.5,76.0,71.4,54.5,92.2,85.1,39.6,94.8,81.2
7,Aaron Jones,72.6,68.2,57.1,89.6,66.2,85.1,93.5,83.1,50.6
8,Damien Harris,70.6,83.1,78.6,24.7,94.2,94.2,56.5,48.1,66.2
9,Derrick Henry,69.8,59.1,100.0,72.7,23.4,99.4,71.4,64.9,21.4
10,Rashaad Penny,69.1,100.0,65.6,10.4,83.1,74.7,87.7,88.3,23.4
11,Leonard Fournette,68.9,51.9,75.3,93.5,50.6,90.9,48.1,67.5,70.1
12,Kareem Hunt,68.9,87.0,45.5,77.9,57.8,79.2,56.5,80.5,74.7
13,Josh Jacobs,68.5,38.3,85.7,81.8,46.8,74.7,93.5,90.9,67.5
14,Antonio Gibson,68.2,68.2,88.3,69.5,54.5,79.2,39.6,37.7,62.3
15,D'Andre Swift,66.6,73.4,61.0,97.4,77.3,66.9,48.1,13.0,5.2
16,James Conner,66.2,42.9,78.6,87.0,16.9,97.4,87.7,100.0,31.2
17,Miles Sanders,65.9,97.4,58.4,46.8,100.0,4.5,63.6,41.6,93.5
18,Joe Mixon,65.7,59.1,93.5,74.0,29.2,94.2,56.5,24.7,35.7
19,Devin Singletary,65.3,89.6,54.5,49.4,71.4,64.3,81.8,42.9,41.6
20,Elijah Mitchell,63.5,51.9,96.1,41.6,49.4,68.8,56.5,85.7,35.7
21,Javonte Williams,62.7,64.3,67.5,71.4,29.2,55.8,97.4,77.9,27.9
22,Najee Harris,62.5,29.2,92.2,92.2,13.0,71.4,87.7,81.8,21.4
23,Tony Pollard,62.1,89.6,39.0,79.2,72.7,16.2,56.5,50.0,77.9
24,Chase Edmonds,62.1,71.4,44.2,88.3,97.4,22.1,26.0,55.8,53.9
25,James Robinson,61.2,62.3,62.3,59.7,46.8,70.1,71.4,63.0,59.7
