Rank,Name,Analytical Running Back Score (ARBS),Explosive Run %,Attempts per Game,Receiving Yards per Game,Yards Before Contact per Run,Touchdowns per Game,Missed Tackles Forced per Attempt,PFF Pass Blocking Grade,Stuffed Run %
26,David Montgomery,61.0,35.7,90.9,81.8,31.8,66.9,31.8,93.5,18.2
27,Alvin Kamara,59.7,22.1,94.8,94.8,25.3,88.3,81.8,9.1,9.1
28,Jordan Howard,59.3,81.8,70.1,1.3,68.8,60.4,71.4,35.1,98.7
29,D'Onta Foreman,58.6,46.8,87.0,50.6,41.6,48.1,63.6,75.3,39.0
30,Devonta Freeman,58.4,73.4,33.8,37.7,89.6,51.3,77.3,61.0,84.4
31,D'Ernest Johnson,57.6,84.4,24.7,27.3,79.2,28.6,100.0,96.1,89.6
32,Dontrell Hilliard,57.3,98.7,26.0,32.5,96.1,39.0,71.4,16.2,63.6
33,Ezekiel Elliott,55.8,22.1,81.8,62.3,61.7,89.6,21.4,27.3,76.6
34,Melvin Gordon,55.5,32.5,74.0,48.1,77.3,79.2,63.6,4.5,51.9
35,Clyde Edwards-Helaire,54.8,22.1,65.6,44.2,88.3,74.7,48.1,46.8,97.4
36,Nyheim Hines,53.6,76.0,2.6,67.5,98.7,23.4,77.3,40.3,72.7
37,Boston Scott,51.6,66.2,31.2,20.1,75.3,81.8,31.8,57.1,92.2
38,Michael Carter,51.2,40.9,50.6,81.8,27.3,43.5,93.5,31.2,48.1
39,Rhamondre Stevenson,50.1,46.8,55.8,29.9,31.8,58.4,98.7,50.0,87.0
40,Myles Gaskin,49.5,55.8,49.4,51.9,51.9,55.8,21.4,51.9,15.6
41,Devontae Booker,48.1,59.1,41.6,61.0,61.7,26.6,9.7,45.5,43.5
42,Cordarrelle Patterson,48.1,15.6,42.9,96.1,46.8,87.0,9.7,63.0,6.5
43,Darrel Williams,48.0,10.4,36.4,90.9,84.4,64.3,18.2,28.6,81.2
44,Tevin Coleman,47.9,92.2,29.9,7.8,70.1,4.5,48.1,74.0,53.9
45,Sony Michel,47.6,46.8,68.8,20.1,43.5,45.5,26.0,79.2,46.1
46,Ty Johnson,47.5,70.1,5.2,84.4,85.7,39.0,3.2,26.0,3.9
47,Duke Johnson,47.4,26.6,84.4,23.4,36.4,74.7,56.5,4.5,83.1
48,Derrick Gore,47.3,51.9,16.9,36.4,67.5,31.2,81.8,89.6,94.8
49,Saquon Barkley,47.2,35.7,72.7,75.3,18.2,46.8,31.8,18.2,14.3
50,Justin Jackson,47.2,93.5,11.7,42.9,94.2,19.5,9.7,11.7,33.8
51,Chris Carson,47.2,44.2,80.5,16.9,19.5,92.2,14.9,20.8,79.2
52,Craig Reynolds,46.9,79.2,52.6,31.2,3.2,4.5,81.8,71.4,43.5
53,Kenneth Gainwell,44.4,29.2,8.4,58.4,55.8,51.3,93.5,92.2,71.4
54,A.J. Dillon,42.9,16.9,52.6,69.5,36.4,55.8,39.6,4.5,96.1
55,Chuba Hubbard,41.9,59.1,48.1,28.6,11.7,49.4,39.6,59.1,13.0
56,Kenyan Drake,41.2,38.3,14.3,85.7,36.4,39.0,39.6,54.5,29.9
57,Latavius Murray,41.2,40.9,37.7,12.3,61.7,60.4,39.6,44.2,68.8
58,Jamaal Williams,41.1,8.4,63.6,39.0,53.2,33.8,14.9,87.0,56.5
59,Peyton Barber,40.9,79.2,19.5,18.2,5.2,31.2,81.8,98.7,11.7
60,Khalil Herbert,38.9,51.9,23.4,15.6,57.8,13.6,63.6,76.6,49.4
61,Alexander Mattison,38.8,32.5,35.1,53.2,14.9,39.0,71.4,66.2,10.4
62,Alex Collins,36.0,13.6,46.8,22.1,43.5,24.7,63.6,84.4,40.3
63,Zack Moss,35.6,5.2,27.3,56.5,39.0,53.2,87.7,23.4,56.5
64,Ronald Jones,34.3,32.5,22.1,6.5,81.2,39.0,48.1,10.4,90.9
65,Samaje Perine,34.0,79.2,3.9,45.5,10.4,16.2,31.8,29.9,32.5
66,Mike Davis,34.0,18.2,32.5,56.5,33.8,35.1,48.1,32.5,16.9
67,Ameer Abdullah,29.7,51.9,1.3,63.6,25.3,9.1,3.2,16.2,61.0
68,Mark Ingram,25.6,8.4,59.7,34.4,6.5,19.5,21.4,4.5,7.8
69,Rex Burkhead,25.4,22.1,28.6,34.4,14.9,26.6,14.9,36.4,19.5
70,Carlos Hyde,25.1,26.6,18.2,12.3,40.3,11.7,21.4,39.0,85.7
71,David Johnson,24.2,11.7,13.0,66.2,21.4,10.4,31.8,19.5,27.9
72,Jeffery Wilson,23.9,22.1,40.3,5.2,21.4,31.2,26.0,4.5,37.7
73,Jaret Patterson,20.6,2.6,8.4,9.1,64.9,13.6,9.7,53.2,88.3
74,Salvon Ahmed,13.6,13.6,6.5,26.0,9.1,4.5,14.9,33.8,1.9
75,Royce Freeman,12.0,2.6,10.4,14.3,3.2,4.5,5.8,72.7,26.0
76,Phillip Lindsay,11.5,6.5,20.8,3.9,7.8,19.5,5.8,22.1,0.0
77,Tony Jones,5.6,2.6,15.6,2.6,1.3,4.5,1.3,4.5,1.9
