Rank,Name,Analytical Score,Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
1,Khalil Mack,91.3,93.8,94.6,92.4,92.9,94.6,99.1,58,82.6,81.3,90.2,93.8
2,Myles Garrett,87.1,90.6,83.9,100,80.4,96.4,94.6,76.8,93.8,38.4,95.5,73.7
3,T.J. Watt,85.6,94.6,96.4,85.7,85.7,63.4,92.9,92,70.1,55.4,87.5,75
4,Josh Hines-Allen,84.4,86.6,97.3,94.6,73.2,89.3,67.9,88.4,73.7,48.2,97.3,64.7
5,Nick Bosa,84.3,97.3,67,97.3,72.3,92,60.7,98.2,92,73.2,98.2,88.8
6,Micah Parsons,82.6,83.9,86.6,99.1,92,99.1,43.3,92.9,70.1,50.9,99.1,29.5
7,Bradley Chubb,80.7,84.8,81.3,83.9,87.5,68.8,100,77.7,49.6,70.5,81.3,71.9
8,Danielle Hunter,80.6,99.1,84.8,79.5,96.4,67,88.4,24.1,36.2,82.1,69.6,71.9
9,Maxx Crosby,80.4,100,66.1,78.6,100,77.7,58,64.3,49.6,90.2,79.5,91.1
10,Trey Hendrickson,79.3,75,99.1,95.5,58,87.5,90.2,61.6,93.8,21.4,92,29.5
11,Aidan Hutchinson,78.8,98.2,51.8,96.4,86.6,93.8,74.1,95.5,60.7,32.1,92.9,34.8
12,Montez Sweat,71.9,88.4,87.5,63.8,56.3,51.8,87.5,52.7,49.6,74.1,63.4,61.2
13,Alex Highsmith,69.7,83,34.8,90.2,90.2,81.3,65.2,63.4,60.7,44.6,73.2,61.2
14,Jadeveon Clowney,68.7,79.5,55.4,84.8,19.6,88.4,75.9,45.5,66.1,91.1,80.4,92.4
15,Jaelan Phillips,67.6,67.9,93.3,67,68.8,55.4,20.5,51.8,20.5,100,68.8,100
16,Will Anderson Jr.,67,72.3,42,83,61.6,83,20.5,86.6,66.1,96.4,83,94.6
17,Samson Ebukam,66.8,71.4,62.5,74.1,59.4,42.9,92,44.6,79.5,83.9,45.5,85.7
18,Rashan Gary,66.1,54.5,65.2,80.8,39.3,79.5,80.4,81.3,88.8,42.9,83.9,61.2
19,Jonathan Greenard,65.5,66.1,89.3,59.4,59.4,36.6,50,69.6,60.7,79.5,59.8,83
20,Nik Bonitto,65.5,38.4,90.2,65.2,50.9,71,58.9,97.3,70.1,56.7,94.6,70.5
21,Joey Bosa,65.2,53.6,93.3,82.1,35.7,43.8,83,34.8,32.6,92,54.5,96.4
22,Andrew Van Ginkel,65,40.2,74.1,92.4,65.2,85.7,20.5,96.4,15.2,89.3,91.1,57.6
23,Baron Browning,64.2,62.5,58,60.7,74.1,86.6,93.8,57.1,26.3,41.1,78.6,37.5
24,George Karlaftis,64,87.5,71.9,54.5,71,83.9,42,30.4,23.2,35.7,75,14.3
25,Boye Mafe,63.7,75.9,57.1,67,95.1,74.1,47.3,42.9,0,54.5,71.4,37.5
26,Tuli Tuipulotu,63.7,68.8,42.9,54.5,91.1,60.7,71.4,42,76.8,83,52.7,80.8
27,Jermaine Johnson,63.6,69.6,56.3,59.4,78.6,67.9,75,41.1,29,68.8,66.1,64.7
28,Malcolm Koonce,63.6,44.6,67.9,71.9,11.6,82.1,98.2,79.5,40.2,98.2,84.8,97.3
29,Haason Reddick,63.5,95.5,61.6,70.1,66.1,47.3,43.3,62.5,82.6,6.3,55.4,6.7
30,Carl Granderson,63.4,90.6,40.2,49.6,88.4,50.9,44.6,60.7,52.7,80.4,50,83
31,Josh Sweat,63.1,96.4,26.8,71.9,62.5,56.3,69.6,75.9,60.7,47.3,58,48.7
32,Greg Rousseau,62.8,55.4,37.5,80.8,44.6,80.4,51.8,90.2,86.2,87.5,82.1,80.8
33,Chase Young,60.6,85.7,49.1,75.4,69.6,72.3,20.5,38.8,73.7,8,67.9,19.2
34,Dennis Gardeck,60.5,23.2,71.9,89.3,17.9,97.3,62.5,87.5,5.8,93.8,96.4,88.8
35,Bryce Huff,60.3,43.8,85.7,98.2,7.1,100,20.5,93.8,26.3,25.9,100,25.9
36,Denico Autry,60.1,82.1,70.5,46.4,64.3,49.1,48.2,21.4,91.1,24.1,44.6,46
37,Kyle Van Noy,60,57.1,69.6,76.8,13.8,92.9,86.6,16.1,9.4,56.7,77.7,69.6
38,Brian Burns,59.7,58.9,68.8,67,98.2,25,46.4,74.1,79.5,18.8,41.1,25.9
39,Jonathon Cooper,59.6,63.4,59.8,56.7,89.3,75,45.5,33.9,11.2,51.8,70.5,34.8
40,Za'Darius Smith,58.7,58,33.9,91.1,31.3,84.8,56.3,94.6,96.4,8.9,85.7,32.6
41,Odafe Oweh,58.7,56.3,29.5,88.4,5.4,95.5,91.1,72.3,45.1,61.6,86.6,76.3
42,Harold Landry III,58.5,64.3,77.7,38.8,84.8,30.4,20.5,66.1,73.7,58.9,46.4,57.6
43,Travon Walker,57.1,78.6,64.3,33.5,79.5,59.8,20.5,46.4,55.8,29.5,62.5,29.5
44,Tyquan Lewis,56.6,25,50,87.5,28.6,98.2,20.5,83,97.8,64.7,93.8,64.7
45,Charles Omenihu,56.5,51.8,75.9,47.3,45.5,53.6,97.3,40.2,32.6,64.7,57.1,16.5
46,Shaquil Barrett,56,50.9,22.3,77.7,52.7,91.1,89.3,53.6,52.7,46.4,75.9,24.1
47,Calais Campbell,55.8,60.7,38.4,54.5,76.8,31.3,49.1,67.9,76.8,76.8,38.4,88.8
48,Preston Smith,55.7,67,63.4,42,67.9,23.2,72.3,78.6,32.6,43.8,42,52.7
49,DeMarcus Lawrence,55.3,49.1,18.8,73.2,51.8,76.8,52.7,27.7,88.8,99.1,58.9,99.1
50,Victor Dimukeje,54.6,5.4,92,62.1,42,90.2,73.2,55.4,55.8,20.5,88.4,21.4
51,Kayvon Thibodeaux,54.3,89.3,75,12.1,97.3,16.1,82.1,15.2,15.2,12.5,19.6,10.3
52,Dayo Odeyingbo,51.5,47.3,91.1,33.5,63.4,0.9,84.8,50.9,49.6,33.9,13.4,40.2
53,Byron Young,51.4,80.4,36.6,27.7,93.8,26.8,61.6,70.5,5.8,39.3,33.9,34.8
54,D.J. Wonnum,49.8,92,50.9,23.2,83.9,13.4,20.5,28.6,12.5,60.7,17,54.9
55,Kwity Paye,49.8,65.2,52.7,40.2,81.3,7.1,79.5,8,26.3,67.9,8.9,48.7
56,Dorance Armstrong,49.3,30.4,88.4,58,18.8,54.5,20.5,33,20.5,72.3,60.7,77.7
57,Bud Dupree,48.6,73.2,47.3,14.3,77.7,39.3,78.6,7.1,82.6,7.1,24.1,3.6
58,Arnold Ebiketie,48.4,9.8,98.2,52.7,8,75.9,96.4,65.2,1.8,2.7,89.3,0.9
59,Michael Hoecht,48.3,46.4,46.4,51.3,95.1,57.1,41.1,38.8,7.6,16.1,51.8,5.4
60,Sam Hubbard,47.4,74.1,31.3,23.2,75,17.9,20.5,85.7,23.2,77.7,33,76.3
61,Leonard Floyd,47.3,50,83,38.8,21.4,28.6,53.6,47.3,40.2,25,43.8,40.2
