Rank,Name,Analytical Interior Defensive Lineman Score (AIS),Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
1,Aaron Donald,90.6,100.0,99.0,100.0,81.6,89.3,83.5,99.0,89.8,62.1,44.7,68.0
2,Quinnen Williams,87.8,98.1,100.0,76.7,79.6,68.9,79.1,100.0,96.1,89.3,92.2,95.1
3,Dexter Lawrence,87.2,99.0,98.1,80.6,97.1,72.8,68.0,98.1,66.5,93.2,44.7,97.1
4,Chris Jones,84.8,97.1,89.3,92.2,100.0,96.1,62.1,97.1,92.7,1.9,44.7,2.9
5,Ed Oliver,82.7,85.0,96.1,88.3,70.9,95.1,57.3,96.1,84.5,73.8,44.7,73.8
6,Nnamdi Madubuike,82.2,91.3,80.6,91.3,99.0,98.1,35.9,95.1,20.4,95.1,44.7,83.5
7,Jeffery Simmons,81.3,81.6,93.2,96.1,52.4,82.5,96.6,88.3,69.9,74.8,44.7,79.6
8,DeForest Buckner,80.9,95.1,62.1,84.5,88.3,93.2,87.4,82.5,27.2,87.9,44.7,85.9
9,Jonathan Allen,78.8,93.2,55.3,97.1,83.5,64.1,91.3,68.9,69.9,70.9,44.7,78.6
10,Zach Allen,78.7,71.8,70.9,95.1,90.3,68.0,94.2,84.5,73.3,65.0,44.7,75.7
11,Kenny Clark,78.2,78.2,91.3,85.4,61.2,92.2,81.6,89.3,79.6,25.2,90.3,23.3
12,Christian Barmore,77.9,85.0,79.6,79.6,64.1,90.3,65.5,81.6,61.7,97.1,44.7,99.0
13,Arik Armstead,76.6,94.2,95.1,90.3,66.0,91.3,34.0,93.2,40.3,35.9,44.7,17.5
14,Osa Odighizuwa,76.1,87.9,88.3,60.2,91.3,51.5,71.4,91.3,94.2,47.6,44.7,56.3
15,David Onyemata,72.6,81.6,44.7,66.0,98.1,79.6,74.8,73.8,61.7,80.6,44.7,82.5
16,Devonte Wyatt,72.6,87.9,97.1,54.4,48.5,94.2,50.0,94.2,73.3,41.7,44.7,62.1
17,Christian Wilkins,72.4,53.4,56.3,98.1,95.1,87.9,89.3,77.7,33.0,61.2,44.7,50.5
18,Javon Hargrave,72.0,86.4,92.2,82.5,63.1,81.6,17.5,87.4,20.4,69.9,44.7,65.0
19,Zach Sieler,71.7,47.6,72.8,93.2,75.7,85.4,86.4,83.5,47.1,45.6,89.3,53.4
20,DJ Reader,71.7,83.5,90.3,65.0,68.0,42.7,60.2,85.4,66.5,86.4,44.7,69.9
21,Leonard Williams,71.4,67.0,82.5,77.7,76.7,66.0,96.6,86.4,40.3,33.0,44.7,42.7
22,Alim McNeill,71.1,78.2,78.6,71.8,69.9,78.6,63.1,76.7,69.9,10.7,93.2,27.2
23,Vita Vea,70.1,90.3,63.1,70.9,40.8,83.5,39.8,62.6,73.3,92.2,95.1,84.5
24,Kobie Turner,69.8,79.6,65.0,75.7,59.2,97.1,27.2,78.6,55.8,81.6,44.7,89.3
25,Derrick Brown,69.2,76.7,50.5,87.4,82.5,22.3,100.0,56.3,40.3,99.0,44.7,98.1
26,Sheldon Rankins,68.5,92.2,83.5,68.0,43.7,77.2,46.1,74.8,61.7,37.9,44.7,37.9
27,Quinton Jefferson,68.4,89.3,68.9,43.7,74.8,100.0,67.0,92.2,12.1,34.5,44.7,36.9
28,Calijah Kancey,68.3,60.2,76.2,78.6,71.8,73.8,35.0,79.6,99.0,42.7,44.7,76.7
29,Maliek Collins,67.9,65.0,53.9,81.6,86.9,74.8,55.3,69.9,95.1,28.2,44.7,41.7
30,Jarran Reed,67.8,60.2,64.1,89.3,51.5,80.6,90.3,66.0,47.1,59.2,44.7,71.8
31,Jalen Carter,66.8,96.1,94.2,67.0,44.7,87.9,8.7,90.3,33.0,22.8,44.7,1.9
32,Fletcher Cox,66.5,69.4,53.9,94.2,86.9,84.5,32.0,71.8,8.7,60.2,44.7,28.2
33,Dre'Mont Jones,63.1,72.8,76.2,69.9,67.0,65.0,82.5,70.9,0.0,5.8,44.7,1.0
34,B.J. Hill,61.1,47.6,33.0,86.4,93.2,60.2,64.1,58.3,51.0,68.0,44.7,49.5
35,Nathan Shepherd,60.4,81.6,47.6,42.7,58.3,75.7,77.7,53.4,27.2,63.1,44.7,63.6
36,Dalvin Tomlinson,58.6,60.2,57.3,64.1,77.7,59.2,43.2,65.0,84.5,2.9,44.7,11.7
37,Javon Kinlaw,58.3,69.4,85.4,47.6,38.8,63.1,4.9,72.8,55.8,82.5,44.7,77.7
38,Jonathan Ledbetter,57.3,50.5,81.6,53.4,39.8,54.9,99.0,67.0,8.7,56.3,44.7,52.4
39,Michael Pierce,57.1,74.8,73.8,63.1,33.0,28.2,28.2,55.3,55.8,83.5,44.7,91.3
40,Mario Edwards Jr.,56.8,69.4,69.9,27.2,78.6,58.3,11.7,75.7,84.5,29.1,44.7,46.6
41,Daron Payne,56.7,27.2,24.3,99.0,47.6,57.3,92.2,35.9,89.8,67.0,91.3,80.6
42,Grover Stewart,55.8,44.2,19.4,58.3,92.2,29.1,93.2,39.8,92.7,77.7,44.7,85.9
43,Cameron Heyward,55.0,62.1,61.2,68.9,17.5,45.6,65.5,40.8,33.0,96.1,44.7,96.1
44,Khalil Davis,55.0,56.8,68.0,34.0,65.0,49.5,23.3,61.2,61.7,66.0,97.1,66.0
45,Larry Ogunjobi,54.2,47.6,51.5,74.8,46.6,38.8,76.7,43.7,66.5,44.7,44.7,54.4
46,Jerry Tillery,53.0,63.6,87.4,39.8,60.2,47.6,30.1,80.6,14.1,4.9,44.7,6.8
47,Milton Williams,52.9,39.3,29.1,50.5,96.1,41.7,16.5,52.4,76.7,91.3,98.1,93.2
48,Keeanu Benton,52.7,74.8,58.3,32.0,84.5,19.4,31.1,60.2,6.8,43.7,96.1,44.7
49,Justin Jones,52.5,24.3,18.4,83.5,89.3,61.2,44.7,47.6,84.5,54.4,44.7,48.5
50,Roy Robertson-Harris,52.3,42.2,74.8,72.8,56.3,56.3,26.2,68.0,14.1,26.2,44.7,19.4
51,Andrew Billings,52.0,74.8,86.4,33.0,35.9,8.7,43.2,64.1,89.8,15.5,44.7,31.1
52,Shelby Harris,51.7,66.0,77.7,19.4,36.9,50.5,14.6,59.2,97.1,57.3,44.7,70.9
53,Sebastian Joseph-Day,49.1,53.4,26.2,48.5,72.8,53.4,50.0,44.7,27.2,58.3,44.7,57.3
54,Travis Jones,46.7,47.6,59.2,45.6,42.7,37.4,6.8,48.5,40.3,94.2,44.7,94.2
55,Roy Lopez,46.5,55.3,84.5,11.2,28.2,8.7,58.3,57.3,40.3,90.3,44.7,92.2
56,Raekwon Davis,46.5,47.6,71.8,31.1,62.1,20.4,41.7,62.6,40.3,24.3,44.7,35.0
57,John Cominsky,44.6,39.3,42.7,62.1,73.8,30.1,15.5,50.5,3.9,50.5,44.7,51.5
58,Dante Stills,41.9,20.9,48.5,52.4,20.4,77.2,69.9,41.7,20.4,40.8,44.7,29.1
59,Harrison Phillips,41.7,12.1,14.6,73.8,25.2,54.9,98.1,15.5,27.2,98.1,44.7,87.4
60,Solomon Thomas,41.5,37.4,31.1,13.6,26.2,99.0,56.3,49.5,89.8,14.6,44.7,32.0
61,DeShawn Williams,41.4,44.2,35.0,26.2,85.4,27.2,25.2,51.5,40.3,27.2,44.7,30.1
62,D.J. Jones,41.1,20.9,25.2,61.2,32.0,37.4,54.4,27.2,47.1,84.5,100.0,74.8
63,Montravius Adams,40.9,42.2,67.0,46.6,8.3,8.7,20.9,36.9,76.7,48.5,99.0,55.3
64,Folorunso Fatukasi,40.6,37.4,66.0,18.4,41.7,8.7,18.4,45.6,79.6,75.7,44.7,90.3
65,Kevin Strong,39.7,32.5,22.3,36.9,8.3,70.9,72.8,24.3,51.0,79.1,44.7,88.3
66,John Jenkins,38.8,32.5,39.8,35.9,22.3,21.4,84.5,29.1,33.0,79.1,44.7,67.0
67,Jordan Davis,38.7,34.5,27.2,41.7,18.4,71.8,48.5,35.0,40.3,39.8,44.7,59.2
68,Tershawn Wharton,38.3,58.3,43.7,40.8,29.1,52.4,1.9,37.9,2.9,36.9,44.7,4.9
69,T.J. Slaton,37.8,28.6,41.7,35.0,19.4,8.7,88.3,25.2,55.8,71.8,44.7,81.6
70,Bilal Nichols,37.7,17.0,49.5,51.5,8.3,40.8,73.8,34.0,27.2,68.9,44.7,45.6
71,Taven Bryan,37.7,69.4,60.2,1.9,8.3,69.9,10.7,46.6,20.4,16.5,44.7,15.5
72,Adam Gotsis,37.2,9.7,38.3,24.3,94.2,23.8,9.7,54.4,84.5,34.5,44.7,39.8
73,Jonah Williams,36.5,17.0,21.4,49.5,31.1,35.9,71.4,21.4,47.1,72.8,44.7,63.6
74,Khalen Saunders,36.0,35.9,40.8,21.4,37.9,8.7,68.9,32.0,8.7,85.4,44.7,61.2
75,Logan Hall,35.8,51.5,30.1,59.2,27.2,8.7,29.1,18.4,51.0,11.7,44.7,12.6
76,Benito Jones,35.2,26.2,45.6,38.8,50.5,17.5,36.9,38.8,55.8,1.0,44.7,3.9
77,Mazi Smith,33.5,63.6,13.6,1.0,54.4,43.7,2.9,22.8,79.6,7.8,44.7,14.6
78,Kurt Hinish,33.3,28.6,28.2,22.3,21.4,62.1,40.8,33.0,73.3,19.4,44.7,18.4
79,Teair Tart,33.2,17.0,3.9,20.4,68.9,33.0,53.4,10.7,98.1,38.8,44.7,58.3
80,Kevin Givens,32.7,53.4,20.4,23.3,35.0,46.6,1.0,20.4,16.0,53.4,44.7,40.8
81,Tim Settle,32.5,56.8,38.3,12.6,24.3,23.8,3.9,30.1,84.5,3.9,44.7,24.3
82,Broderick Washington,31.3,17.0,46.6,28.2,49.5,48.5,7.8,42.7,12.1,12.6,44.7,13.6
83,Jonathan Bullard,30.4,4.9,6.3,56.3,8.3,35.0,80.6,3.9,76.7,49.5,44.7,72.8
84,Jonathan Harris,30.2,22.3,16.5,44.7,34.0,18.4,37.9,14.6,1.5,87.9,44.7,68.9
85,Austin Johnson,29.7,4.9,32.0,56.3,16.5,8.7,79.1,17.5,27.2,46.6,44.7,33.0
86,Greg Gaines,29.5,34.5,4.9,37.9,55.3,44.7,13.6,13.6,20.4,6.8,44.7,9.7
87,Jordan Elliott,27.6,40.8,23.3,15.5,8.3,67.0,22.3,26.2,20.4,8.7,44.7,5.8
88,Davon Godchaux,27.4,8.7,6.3,56.3,8.3,8.7,95.1,1.9,33.0,64.1,44.7,47.6
89,Kyle Peko,27.2,19.4,15.5,5.8,57.3,8.7,51.5,16.5,84.5,21.4,44.7,21.4
90,Nick Williams,27.0,23.3,35.9,16.5,8.3,32.0,52.4,22.8,40.3,32.0,44.7,16.5
91,A'Shawn Robinson,26.9,13.6,17.5,25.2,8.3,8.7,59.2,6.8,61.7,100.0,44.7,100.0
92,Mike Purcell,26.6,10.7,2.9,14.6,80.6,8.7,61.2,11.7,51.0,18.4,44.7,22.3
93,Ta'Quon Graham,26.0,31.1,34.0,4.9,30.1,34.0,24.3,31.1,27.2,9.7,44.7,7.8
94,Zach Carter,25.3,12.1,36.9,30.1,23.3,8.7,46.1,19.4,16.0,13.6,94.2,8.7
95,Bobby Brown III,24.6,30.1,11.7,3.9,8.3,39.8,20.9,9.2,66.5,76.7,44.7,60.2
96,Johnathan Hankins,23.3,14.6,7.8,8.7,8.3,86.4,33.0,9.2,20.4,55.3,44.7,26.2
97,John Ridgeway,22.5,25.2,52.4,2.9,8.3,8.7,12.6,28.2,10.7,52.4,44.7,38.8
98,Derrick Nnadi,17.9,2.9,12.6,17.5,8.3,25.2,47.6,7.8,40.3,31.1,44.7,20.4
99,Lawrence Guy Sr.,17.6,1.0,9.7,11.2,8.3,8.7,75.7,4.9,55.8,22.8,44.7,43.7
100,Shy Tuttle,17.6,1.9,1.0,9.7,8.3,31.1,85.4,1.0,5.8,51.5,44.7,35.9
101,Jeremiah Ledbetter,17.5,4.9,10.7,7.8,45.6,8.7,5.8,12.6,61.7,17.5,44.7,34.0
102,Rakeem Nunez-Roches,17.3,6.8,8.7,29.1,8.3,26.2,38.8,5.8,1.5,30.1,44.7,25.2
103,Albert Huggins,15.0,7.8,1.9,6.8,53.4,8.7,19.4,2.9,4.9,20.4,44.7,10.7
