Rank,Name,Analytical ILB Score (ILS),Stop %,INTs per Coverage Snap,Coverage Snaps per Game,Yards per Coverage Snap,Run Snaps per Game,Pressures per Rush,QB Rating Against,Sacks per Rush,Tackles per Run Snap,Pass Rush Win Rate,Avg Depth of Tackle,Hurries per Rush,Pass Rush Snaps,Forced Fumbles per Run Snap,Snaps per Reception
1,Shaquille Leonard,76.9,79.8,93.3,89.9,56.7,71.9,71.9,89.9,17.4,62.9,51.7,89.3,58.4,66.3,100.0,88.8
2,Kyzir White,75.8,67.4,80.9,74.2,84.8,83.1,92.1,67.4,59.6,86.5,93.3,46.6,89.9,42.7,95.5,64.6
3,David Long Jr.,72.7,80.9,85.4,98.9,41.0,33.7,58.4,80.3,46.1,83.1,91.0,40.4,68.5,60.7,40.4,64.6
4,Bobby Okereke,71.6,67.4,73.0,92.1,73.6,74.2,83.7,48.3,42.1,60.7,87.6,46.6,91.6,68.5,40.4,50.6
5,Shaq Thompson,69.7,64.0,86.5,62.9,73.6,80.9,37.1,98.9,62.9,48.3,61.8,84.8,25.8,83.1,40.4,43.8
6,Roquan Smith,68.9,87.6,57.3,66.3,73.6,89.9,20.2,77.5,76.4,91.0,18.0,73.0,20.8,82.0,40.4,40.4
7,De'Vondre Campbell,66.2,32.0,71.9,94.4,92.1,60.7,74.2,71.9,77.5,88.8,64.6,7.3,28.1,51.7,97.8,64.6
8,Cole Holcomb,65.8,73.0,76.4,93.3,41.0,77.5,29.2,40.4,42.1,78.7,35.4,25.3,55.1,68.5,84.3,51.7
9,Logan Wilson,64.0,53.9,97.8,91.0,28.1,43.8,39.3,92.1,56.2,41.6,39.3,51.7,36.5,45.5,91.0,35.4
10,Eric Kendricks,63.8,37.1,77.5,95.5,56.7,92.1,43.8,30.9,95.5,84.3,42.7,32.0,34.8,78.1,40.4,92.7
11,Leighton Vander Esch,63.2,91.0,69.7,29.2,73.6,41.6,21.3,88.8,53.4,76.4,51.7,32.0,48.3,48.9,40.4,60.7
12,Bobby Wagner,62.9,56.7,52.8,97.8,41.0,100.0,67.4,50.6,49.4,75.3,70.8,59.0,60.1,54.5,40.4,31.5
13,Denzel Perryman,61.9,98.9,26.4,82.0,56.7,68.5,100.0,12.4,17.4,100.0,3.4,46.6,98.9,6.2,40.4,33.7
14,Jeremiah Owusu-Koramoah,61.9,92.1,26.4,42.1,96.6,27.0,52.2,58.4,87.6,98.9,28.1,68.5,50.6,64.0,40.4,85.4
15,Jonas Griffith,61.7,95.5,26.4,53.9,73.6,73.0,79.2,73.0,17.4,79.8,42.7,97.2,24.7,11.2,40.4,19.1
16,Alexander Johnson,61.5,100.0,26.4,60.7,28.1,56.2,55.1,61.2,83.1,96.6,78.1,73.0,71.9,43.8,40.4,96.6
