Rank,Name,Analytical ILB Score (ILS),Stop %,INTs per Coverage Snap,Coverage Snaps per Game,Yards per Coverage Snap,Run Snaps per Game,Pressures per Rush,QB Rating Against,Sacks per Rush,Tackles per Run Snap,Pass Rush Win Rate,Avg Depth of Tackle,Hurries per Rush,Pass Rush Snaps,Forced Fumbles per Run Snap,Snaps per Reception
17,Kamu Grugier-Hill,61.3,84.8,68.5,56.2,7.3,91.0,83.7,14.6,96.6,65.2,21.3,64.0,63.5,41.6,85.4,15.7
18,Fred Warner,61.2,64.0,26.4,88.8,92.1,76.4,46.6,27.5,79.2,59.6,20.2,82.0,31.5,50.6,82.0,95.5
19,Alex Singleton,60.9,89.9,56.2,68.5,7.3,30.3,91.0,11.2,79.2,94.4,98.9,68.5,63.5,23.6,92.1,5.1
20,Ernest Jones,60.4,24.7,92.1,42.1,92.1,19.1,94.9,95.5,97.8,27.0,95.5,11.8,79.2,39.9,40.4,69.7
21,Kwon Alexander,59.2,77.5,78.7,44.9,28.1,21.3,67.4,83.7,84.3,28.1,40.4,40.4,46.1,89.3,40.4,37.6
22,Josh Bynes,58.7,93.8,26.4,31.5,73.6,37.1,76.4,41.6,94.4,85.4,38.2,87.1,44.9,29.2,40.4,71.3
23,Foyesade Oluokun,58.4,24.7,87.6,78.7,56.7,97.8,22.5,59.6,51.7,87.6,10.7,16.9,18.0,92.1,40.4,82.0
24,C.J. Mosley,57.7,87.6,26.4,86.5,41.0,98.9,7.9,9.0,61.8,93.3,24.7,51.7,13.5,84.3,40.4,23.6
25,Christian Kirksey,57.6,61.2,66.3,71.9,28.1,95.5,56.7,5.6,17.4,61.8,97.8,55.6,63.5,30.9,40.4,64.6
26,Demario Davis,57.4,50.6,26.4,83.1,96.6,69.7,26.4,94.4,58.4,38.2,54.5,19.7,15.7,96.6,40.4,97.8
27,T.J. Edwards,57.1,77.5,61.8,47.2,28.1,40.4,67.4,42.7,93.3,68.5,96.6,40.4,20.8,14.0,40.4,16.9
28,Alex Anzalone,57.1,43.3,62.9,65.2,92.1,88.8,5.6,83.7,39.9,12.4,6.7,64.0,5.6,71.3,40.4,92.7
29,Anthony Barr,57.0,4.5,94.4,96.6,56.7,86.5,32.6,80.3,68.5,1.1,49.4,23.6,30.3,89.3,40.4,57.9
30,Azeez Al-Shaair,56.9,70.8,59.6,67.4,16.9,59.6,75.3,44.9,82.0,19.1,35.4,94.4,70.8,45.5,40.4,5.1
31,Tae Crowder,56.6,27.0,75.3,85.4,56.7,93.3,53.9,70.8,17.4,37.1,14.0,28.1,84.8,62.4,40.4,67.4
32,Quincy Williams,55.9,77.5,26.4,58.4,41.0,84.3,60.7,49.4,73.6,80.9,14.0,59.0,52.8,59.0,96.6,40.4
33,Nick Vigil,55.8,59.0,67.4,46.1,41.0,46.6,93.3,62.9,65.7,18.0,10.7,92.7,93.3,34.3,40.4,48.9
34,Lavonte David,54.5,55.1,26.4,100.0,84.8,52.8,24.7,19.1,37.1,40.4,69.1,40.4,23.6,75.8,40.4,53.9
35,Alec Ogletree,54.5,83.1,26.4,36.0,92.1,62.9,26.4,30.9,17.4,67.4,69.1,59.0,7.9,28.1,87.6,98.9
36,Jayon Brown,54.3,67.4,79.8,52.8,56.7,14.6,12.4,61.2,17.4,42.7,3.4,64.0,11.2,22.5,40.4,88.8
37,Anthony Walker Jr.,54.1,39.3,26.4,76.4,84.8,66.3,85.4,55.1,86.5,56.2,26.4,14.0,94.4,19.7,40.4,82.0
38,Devin White,53.3,50.6,26.4,87.6,56.7,50.6,87.1,33.1,55.1,23.6,62.9,59.0,77.5,98.9,40.4,40.4
39,Tremaine Edmunds,53.3,64.0,53.9,80.9,10.7,64.0,61.8,36.0,17.4,58.4,12.4,68.5,83.1,75.8,40.4,19.1
40,Damien Wilson,52.3,56.7,65.2,43.8,5.1,78.7,59.6,16.9,80.9,64.0,84.3,73.0,56.7,78.1,40.4,21.9
41,Pete Werner,52.3,87.6,26.4,9.0,73.6,6.7,67.4,86.5,17.4,92.1,56.2,91.0,82.0,25.3,40.4,43.8
42,Germaine Pratt,52.2,43.3,83.1,55.1,41.0,57.3,15.2,53.9,49.4,43.8,16.9,55.6,16.9,54.5,83.1,27.0
43,Matt Milano,51.9,28.7,26.4,73.0,84.8,67.4,46.6,74.2,67.4,11.2,94.4,78.1,38.8,91.0,40.4,78.1
44,Jamie Collins Sr.,51.7,30.3,100.0,1.1,84.8,11.8,50.6,57.3,47.2,5.6,79.8,97.2,56.7,57.3,40.4,78.1
45,Elandon Roberts,51.4,38.2,82.0,13.5,28.1,48.3,77.5,82.0,53.4,36.0,89.9,82.0,86.5,48.9,89.9,68.5
46,Nick Bolton,50.7,97.2,26.4,25.8,28.1,39.3,67.4,34.8,17.4,95.5,29.2,95.5,73.0,54.5,40.4,37.6
47,Anthony Hitchens,50.3,46.1,70.8,28.1,73.6,42.7,36.0,13.5,17.4,82.0,86.5,21.9,38.8,30.9,40.4,88.8
48,Eric Wilson,50.2,28.7,88.8,34.8,56.7,15.7,89.9,65.2,17.4,52.8,85.4,9.0,75.3,4.5,40.4,35.4
49,Rashaan Evans,50.1,21.9,95.5,38.2,56.7,20.2,33.7,97.8,17.4,32.6,42.7,73.0,79.2,11.2,40.4,74.2
50,Jerome Baker,50.0,6.7,60.7,64.0,73.6,70.8,62.9,66.3,73.6,2.2,82.0,35.4,43.8,97.8,40.4,53.9
51,Zach Cunningham,49.5,97.2,26.4,48.3,28.1,49.4,3.4,56.2,17.4,73.0,7.9,98.9,6.7,39.9,40.4,12.9
52,Willie Gay,49.4,46.1,96.6,17.4,16.9,36.0,41.6,75.3,49.4,16.9,48.3,89.3,60.1,54.5,40.4,27.0
53,Joe Schobert,48.8,24.7,58.4,61.8,73.6,85.4,6.7,85.4,17.4,31.5,19.1,25.3,19.1,74.2,40.4,82.0
54,Kyle Van Noy,48.4,10.7,74.2,21.9,98.9,58.4,23.6,76.4,57.3,9.0,32.0,51.7,47.2,100.0,86.5,100.0
55,Patrick Queen,47.9,61.2,26.4,51.7,28.1,51.7,40.4,33.1,64.0,71.9,64.6,92.7,53.9,79.8,40.4,47.2
56,A.J. Klein,47.0,70.8,91.0,7.9,5.1,10.1,18.0,96.6,17.4,57.3,72.5,21.9,14.6,19.7,40.4,10.1
57,Jermaine Carter,46.5,50.6,26.4,50.6,56.7,75.3,82.0,6.7,17.4,24.7,76.4,46.6,80.9,47.2,40.4,91.0
58,Malcolm Smith,46.5,82.0,98.9,14.6,10.7,3.4,1.7,7.9,17.4,47.2,3.4,78.1,2.8,17.4,40.4,8.4
59,Krys Barnes,46.3,84.8,26.4,24.7,16.9,18.0,56.7,22.5,92.1,97.8,78.1,51.7,63.5,15.7,40.4,8.4
60,Ja'Whaun Bentley,45.6,46.1,26.4,27.0,56.7,53.9,48.3,78.7,39.9,70.8,59.6,64.0,40.4,71.3,88.8,74.2
61,Deion Jones,45.1,50.6,26.4,79.8,2.2,96.6,29.2,4.5,60.7,39.3,83.1,51.7,42.1,86.5,80.9,6.7
62,K.J. Wright,45.0,74.2,26.4,4.5,84.8,9.0,98.9,3.4,17.4,49.4,3.4,82.0,100.0,2.2,40.4,94.4
63,Kevin Minter,44.8,34.8,26.4,19.1,96.6,4.5,80.9,93.3,65.7,30.3,74.7,40.4,76.4,34.3,40.4,86.5
64,Devin Bush,44.0,10.7,64.0,57.3,28.1,79.8,67.4,46.1,89.9,6.7,74.7,32.0,33.7,36.0,40.4,21.9
65,Marcell Harris,43.7,16.3,89.9,5.6,16.9,7.9,97.2,91.0,100.0,14.6,92.1,78.1,84.8,3.4,40.4,11.2
66,Jordan Hicks,43.4,16.3,26.4,77.5,56.7,82.0,38.2,47.2,70.8,20.2,67.4,14.0,32.6,93.3,40.4,60.7
67,Isaiah Simmons,43.2,10.7,55.1,69.7,56.7,65.2,16.9,69.7,34.8,13.5,46.6,7.3,22.5,95.5,40.4,57.9
68,Troy Reeder,43.2,5.6,84.3,37.1,28.1,34.8,73.0,51.7,69.7,4.5,72.5,78.1,51.7,62.4,40.4,27.0
69,Jalen Reeves-Maybin,42.6,70.8,26.4,32.6,41.0,32.6,13.5,39.3,17.4,44.9,35.4,73.0,29.2,80.9,93.3,31.5
70,Jordyn Brooks,42.6,41.0,26.4,84.3,2.2,94.4,42.7,2.2,44.9,55.1,44.9,64.0,49.4,65.2,40.4,2.8
71,Reggie Ragland,41.7,75.3,26.4,11.2,56.7,22.5,44.9,37.1,17.4,74.2,9.0,28.1,69.7,37.6,40.4,27.0
72,Drue Tranquill,40.4,14.6,26.4,40.4,73.6,23.6,88.8,29.2,91.0,69.7,57.3,10.1,87.6,32.6,40.4,71.3
73,Myles Jack,38.9,21.9,26.4,70.8,41.0,87.6,31.5,27.5,17.4,22.5,32.0,32.0,66.3,85.4,40.4,48.9
74,Keanu Neal,38.8,50.6,26.4,49.4,28.1,29.2,29.2,25.8,85.4,66.3,23.0,16.9,12.4,21.3,40.4,43.8
75,Neville Hewitt,38.5,93.8,26.4,10.1,16.9,28.1,10.1,19.1,17.4,77.5,51.7,16.9,2.8,8.4,40.4,53.9
76,Cory Littleton,37.4,32.0,26.4,39.3,28.1,55.1,94.9,43.8,17.4,25.8,88.8,28.1,96.1,11.2,40.4,12.9
77,Jaylon Smith,36.5,7.9,26.4,23.6,84.8,5.6,87.1,52.8,73.6,33.7,80.9,2.2,96.1,27.0,40.4,84.3
78,Robert Spillane,36.2,59.0,26.4,20.2,56.7,16.9,1.7,24.7,17.4,29.2,35.4,87.1,2.8,14.0,40.4,74.2
79,Kenny Young,35.9,19.7,26.4,59.6,16.9,44.9,79.2,23.6,73.6,21.3,59.6,5.1,88.8,59.0,94.4,19.1
80,Baron Browning,35.7,1.1,26.4,75.3,73.6,61.8,19.1,68.5,17.4,3.4,26.4,2.2,27.0,37.6,40.4,76.4
81,Divine Deablo,34.6,41.0,26.4,33.7,10.7,25.8,67.4,10.1,17.4,89.9,100.0,2.2,91.6,6.2,40.4,56.2
82,Markus Bailey,33.7,10.7,26.4,2.2,84.8,1.1,52.2,87.6,98.9,46.1,59.6,19.7,36.5,8.4,40.4,60.7
83,Jamin Davis,30.4,18.0,26.4,30.3,56.7,13.5,11.2,38.2,38.2,50.6,30.3,40.4,10.1,73.0,40.4,31.5
84,Dont'a Hightower,28.5,19.7,26.4,15.7,16.9,46.6,49.4,21.3,43.8,10.1,46.6,84.8,74.2,94.4,40.4,14.6
85,Davion Taylor,27.0,34.8,26.4,12.4,2.2,11.8,97.2,19.1,17.4,51.7,3.4,35.4,97.8,1.1,98.9,1.1
86,Ben Niemann,26.2,3.4,26.4,21.9,56.7,2.2,34.8,15.7,36.0,34.8,54.5,5.1,67.4,87.6,40.4,79.8
87,Derrick Barnes,23.2,34.8,26.4,3.4,0.0,31.5,4.5,0.0,88.8,53.9,23.0,40.4,2.8,17.4,40.4,2.8
88,Justin Strnad,20.5,13.5,26.4,17.4,10.7,38.2,9.0,64.0,17.4,15.7,15.7,11.8,9.0,25.3,40.4,27.0
89,Kenneth Murray Jr.,19.1,2.2,26.4,6.7,41.0,24.7,15.2,1.1,17.4,7.9,66.3,0.0,42.1,68.5,40.4,46.1
