Rank,Name,Analytical Score,Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
56,Azeez Ojulari,50.6,33.9,99.1,31.3,77.4,40,18.7,43.5,68.3,10.4,57.4,11.3
57,Anfernee Jennings,50.6,52.6,15.7,35.2,100,46.1,40.9,52.6,60,96.5,35.7,93.9
58,Tyree Wilson,50.4,52.6,38.3,42.2,23.5,62.6,60,52.6,71.7,76.5,53.9,89.6
59,Emmanuel Ogbah,50.2,77.4,39.1,11.3,73,29.6,46.1,27,89.1,58.3,27.8,80
60,DeMarcus Walker,50,67,20,52.2,84.3,30.4,18.7,89.6,50.4,53,40.9,68.3
61,Haason Reddick,49.9,65.2,29.6,27,42.6,74.8,73,29.1,81.7,36.5,55.7,50.9
62,Tyquan Lewis,49.1,38.7,20.9,44.3,70.4,45.2,77.4,45.2,74.8,87.8,36.5,91.3
63,Mike Danna,48.9,58.7,48.3,26.1,60,31.3,85.2,36.5,37.4,77.4,33,30.9
64,Darrell Taylor,48.8,20.9,33.9,50,8.7,85.2,95.7,92.2,7,99.1,89.6,92.2
65,Michael Hoecht,47.9,17.4,65.2,46.5,66.1,80,18.7,25.2,35.2,54.8,69.6,63.5
66,Arnold Ebiketie,47.9,43.5,56.5,64.3,12.2,65.2,18.7,65.2,7,81.3,63.5,61.3
67,Dre'Mont Jones,47.5,55.2,13,68.7,50.4,73.9,18.7,90.4,71.7,8.7,72.2,18.7
68,Yetur Gross-Matos,46.8,38.7,61.7,52.2,56.5,53,18.7,39.1,85.2,17,47,7.4
69,Baron Browning,45.7,29.1,19.1,91.3,19.1,89.6,73.9,9.6,50.4,27,64.3,57.8
70,Jalyx Hunt,45.2,25.2,71.3,40.4,11.3,53.9,80,19.1,26.1,78.3,46.1,63.5
71,Arik Armstead,44.4,57.4,7.8,77.4,30.4,63.5,18.7,33.9,47,63.5,41.7,70.9
72,Pat Jones II,44.2,49.6,82.2,22.2,4.3,13,18.7,30.4,68.3,100,20.9,100
73,Felix Anudike-Uzomah,43.2,9.6,75.7,40.4,7,7.8,76.5,66.1,91.3,83.5,24.3,94.8
74,Derek Barnett,42.8,18.3,73,52.2,18.3,18.3,93,29.1,22.6,66.1,25.2,65.7
75,Bryce Huff,42.7,19.6,22.2,86.1,6.1,94.8,87.8,10.9,22.6,34.8,74.8,40
76,Charles Omenihu,42.3,68.7,16.5,15.7,48.7,25.2,96.5,8.7,81.7,45.2,10.4,59.6
77,Joseph Ossai,41.4,47.8,36.5,36.5,32.2,19.1,57.4,87,12.6,80,34.8,42.6
78,A.J. Epenesa,41.3,44.3,41.7,13,60.9,3.5,47,53.9,85.2,68.7,7.8,84.3
79,Sam Okuayinonu,41.2,27,27,28.3,40.9,56.5,67,26.1,57,85.2,38.3,89.6
80,Kingsley Enagbare,40.6,30.4,46.1,20.9,33,32.2,90.4,33,32.2,89.6,32.2,50.9
81,Josh Paschal,39.5,80,7,13,47,37.4,18.7,61.7,85.2,22.6,31.3,42.6
82,Anthony Nelson,39.4,35.7,28.7,55.2,35.7,43.5,53,82.6,7,41.7,49.6,4.8
83,Chris Braswell,38.1,10.4,45.2,73.9,2.6,36.5,80.9,95.7,32.2,7.8,56.5,10
84,Charles Harris,37.8,42.6,30.9,53.9,74.8,15.2,18.7,51.3,28.7,12.2,18.3,25.7
85,Ogbo Okoronkwo,37.6,32.2,24.3,31.3,31.3,42.6,63.5,41.7,92.2,24.3,33.9,55.7
86,Lukas Van Ness,37.4,21.7,44.3,37.4,26.1,27,64.3,23.5,37.4,74.8,23.5,80.9
87,Jonah Elliss,37.2,19.6,87.8,28.3,7.8,34.3,18.7,3.5,53.9,55.7,30.4,50.9
88,Sam Hubbard,37.1,36.5,11.3,19.6,75.7,11.3,60.9,72.2,19.1,87,17.4,73
89,Deatrich Wise Jr.,36.7,34.8,60,57.4,16.5,17.4,18.7,21.7,39.6,50.4,20,21.7
90,Cameron Jordan,35.9,45.2,25.2,22.2,41.7,41.7,18.7,16.5,60,51.3,29.6,68.3
91,Matthew Judon,35.9,40,58.3,18.3,55.7,23.5,18.7,17.4,16.1,52.2,21.7,13.5
92,Bud Dupree,34.6,46.1,47,10,24.3,16.5,58.7,35.7,32.2,43.5,19.1,35.2
93,Charles Snowden,34.6,3.5,43.5,6.1,39.1,54.8,18.7,99.1,78.7,28.7,73.9,55.7
94,Micheal Clemons,32.4,41.7,26.1,23.9,73.9,13.9,18.7,42.6,22.6,25.2,15.7,21.7
95,Dawuane Smoot,32.3,33,13.9,25.2,17.4,6.1,94.8,74.8,99.1,9.6,13,46.5
96,Joe Tryon-Shoyinka,31.7,37.4,8.7,35.2,34.8,55.7,58.7,12.2,50.4,6.1,28.7,8.7
97,Clelin Ferrell,31.5,13.9,35.7,17,43.9,27.8,67.8,71.3,3.5,40,37.4,27.4
98,Myles Murphy,30.5,29.1,3.5,46.5,13,67.8,18.7,37.4,16.1,84.3,39.1,23.9
99,Preston Smith,29.5,26.1,62.6,29.6,27,20,18.7,7,19.1,14.8,14.8,13.5
100,Payton Turner,27.9,14.8,22.2,39.1,20,28.7,97.4,10.9,11.3,33,13.9,21.7
101,Tavius Robinson,27.8,23.5,37.4,8.7,47.8,2.6,18.7,87.8,35.2,30.4,11.3,25.7
102,Dallas Turner,24,7,67,19.6,0.9,20.9,18.7,34.8,8.7,17,26.1,18.7
103,Trevor Nowaske,23.8,13,27.8,17,10.4,70.4,18.7,27.8,10.4,11.3,51.3,10
104,Austin Booker,23.6,7.8,33,13,3.5,5.2,18.7,59.1,68.3,60,12.2,87.4
105,Julian Okwara,23.2,4.3,18.3,63.5,25.2,8.7,18.7,18.3,96.1,4.3,9.1,4.8
106,James Smith-Williams,22.5,16.5,9.6,14.8,62.6,1.7,18.7,13.9,97.4,21.7,1.7,30.9
107,Lorenzo Carter,22.4,11.3,3.5,4.3,58.3,4.3,72.2,62.6,32.2,26.1,4.3,35.2
108,DJ Johnson,21.8,8.7,10.4,2.6,79.1,0.9,18.7,3.5,26.1,82.6,0.9,73
109,Marshawn Kneeland,20.3,15.7,3.5,7,20.9,26.1,18.7,85.2,37.4,42.6,22.6,30.9
110,Tyus Bowser,17.4,12.2,3.5,23.9,40,22.6,18.7,3.5,63.9,0.9,5.2,0.9
111,Casey Toohill,15.5,6.1,14.8,5.2,15.7,15.2,18.7,3.5,57,33.9,7,50.9
112,Brent Urban,13.5,1.7,3.5,3.5,1.7,9.6,18.7,3.5,28.7,98.3,2.6,98.3
113,Javontae Jean-Baptiste,13.5,5.2,12.2,10,5.2,12.2,18.7,14.8,32.2,37.8,9.1,44.8
114,Jaylen Harrell,10,2.6,3.5,0.9,13.9,10.4,18.7,3.5,96.1,1.7,3.5,2.6
115,Eric Watts,7.7,0.9,3.5,1.7,14.8,24.3,18.7,3.5,1.3,13,6.1,7.4
