Rank,Name,Analytical Score,Stop %,INTs per Coverage Snap,Coverage Snaps per Game,Yards per Coverage Snap,Run Snaps per Game,Pressures per Rush,QB Rating Against,Sacks per Rush,Tackles per Run Snap,Pass Rush Win Rate,Avg Depth of Tackle,Hurries per Rush,Pass Rush Snaps,Forced Fumbles per Run Snap,Snaps per Reception
65,Frankie Luvu,40.4,16.5,25.3,42.4,60,91.8,49.4,27.1,88.2,20,90.6,27.6,21.2,88.8,43.5,61.2
66,Leighton Vander Esch,39.9,21.2,25.3,48.2,98.2,56.5,3.5,87.1,10.6,51.8,4.7,9.4,11.8,24.7,43.5,100
67,Leo Chenal,39.3,67.6,25.3,2.4,19.4,7.1,68.2,67.1,38.2,44.7,52.9,89.4,65.9,77.6,98.8,2.4
68,Mykal Walker,39.3,37.6,94.1,17.6,3.5,15.3,27.1,9.4,10.6,7.1,100,68.8,67.6,10.6,43.5,32.4
69,Anthony Walker Jr.,39.2,52.9,25.3,29.4,91.8,12.9,14.7,1.2,10.6,29.4,30.6,74.1,9.4,25.9,43.5,97.6
70,Willie Gay,39.2,24.1,72.9,14.1,44.1,24.7,51.8,43.5,27.1,12.9,16.5,51.2,74.1,65.9,95.3,27.6
71,Shaquille Leonard,39,10.6,25.3,31.2,85.3,64.7,88.2,32.9,81.2,38.8,4.7,23.5,91.8,7.1,43.5,82.9
72,Khaleke Hudson,37.6,64.7,25.3,9.4,19.4,10.6,81.2,20,61.8,96.5,40,15.3,87.1,15.9,43.5,5.3
73,Divine Deablo,37.5,24.1,25.3,55.3,44.1,44.7,58.8,30.6,40,37.6,80.6,5.3,71.8,34.1,43.5,38.2
74,Damone Clark,37.4,12.9,25.3,35.9,91.8,63.5,25.9,49.4,10.6,47.1,37.6,37.1,27.1,52.4,43.5,87.6
75,Markquese Bell,36.1,48.2,25.3,37.6,44.1,22.4,22.4,22.4,10.6,92.9,20,9.4,63.5,12.4,43.5,50
76,Christian Rozeboom,35.4,33.5,71.8,20,31.2,5.9,8.2,64.7,10.6,22.4,48.2,15.3,7.1,30,43.5,10.6
77,Josey Jewell,35,16.5,25.3,44.7,60,46.5,37.6,21.2,63.5,18.8,58.8,3.5,44.1,67.1,43.5,77.1
78,David Mayo,34.3,41.2,25.3,21.2,9.4,34.1,94.7,7.1,98.8,34.1,43.5,59.4,77.6,3.5,43.5,14.7
79,Henry To'oTo'o,34.2,62.4,25.3,34.1,0,8.2,80,3.5,10.6,48.2,4.7,68.8,97.6,21.8,43.5,3.5
80,Duke Riley,33.9,60.6,25.3,10.6,19.4,9.4,50.6,11.8,10.6,16.5,92.9,84.7,69.4,47.1,43.5,38.2
81,De'Vondre Campbell,32.8,8.8,25.3,61.2,19.4,58.8,77.6,2.4,56.5,40,70,15.3,47.1,17.6,43.5,61.2
82,Devin Bush,30.6,60.6,25.3,8.2,3.5,11.8,1.2,60,10.6,58.8,98.2,59.4,1.8,2.4,43.5,1.2
83,Josh Woods,30.1,5.9,25.3,45.9,75.3,80,8.2,0,10.6,5.9,34.1,15.3,19.4,19.4,43.5,74.7
84,Jack Campbell,27.5,48.2,25.3,11.8,9.4,18.8,4.7,5.9,31.8,55.3,9.4,59.4,16.5,84.7,43.5,38.2
85,Tony Fields II,21,2.4,25.3,1.2,75.3,1.2,14.7,68.2,10.6,3.5,4.7,0,55.3,5.9,43.5,61.2
