Rank,Name,Analytical Interior Defensive Lineman Score (AIS),Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
16,Ed Oliver,73.2,90.2,84.3,81.4,92.2,33.3,53.9,82.4,87.3,16.7,46.1,22.5
17,Alim McNeill,71.7,96.1,96.1,93.1,30.4,51.0,34.3,79.4,80.9,46.1,46.1,55.9
18,Maliek Collins,71.5,87.3,88.2,77.5,68.6,77.5,70.6,81.4,20.1,12.3,46.1,10.8
19,Levi Onwuzurike,71.2,85.8,80.4,79.4,97.1,36.3,48.0,83.3,40.2,41.2,46.1,47.1
20,Calais Campbell,71.2,80.4,77.5,71.6,74.5,66.7,20.6,72.5,72.5,100.0,46.1,100.0
21,Gervon Dexter Sr.,69.8,68.1,54.4,70.6,99.0,82.4,74.5,89.2,5.9,83.3,46.1,50.0
22,Calijah Kancey,69.6,59.8,55.9,94.1,91.2,92.2,38.2,76.0,99.0,10.8,46.1,32.4
23,Zach Sieler,69.2,60.8,65.7,95.1,59.8,98.0,79.4,74.5,54.9,25.5,46.1,19.6
24,Jonathan Allen,69.0,73.0,81.4,63.7,90.2,65.7,61.8,84.3,8.3,58.8,46.1,54.9
25,Milton Williams,68.6,98.0,98.0,52.0,73.5,90.2,15.7,98.0,6.9,7.8,46.1,3.9
26,Dalvin Tomlinson,67.0,55.9,76.5,53.4,98.0,68.6,80.4,90.2,87.3,4.9,46.1,8.8
27,Tim Settle,66.5,81.9,91.2,65.7,41.2,62.7,30.4,78.4,92.2,38.2,46.1,56.9
28,Grady Jarrett,64.7,62.7,39.2,80.4,80.4,46.1,67.2,52.0,87.3,90.2,46.1,87.3
29,Braden Fiske,63.4,73.0,100.0,73.5,15.2,99.0,23.5,97.1,29.4,23.5,46.1,27.5
30,B.J. Hill,62.1,56.9,60.8,88.2,42.2,39.2,86.3,52.9,46.1,96.1,46.1,89.2
31,Tershawn Wharton,61.7,81.9,56.9,78.4,46.1,86.3,33.3,62.7,33.8,20.6,46.1,40.2
32,Javon Kinlaw,61.1,75.0,50.0,69.6,50.0,69.6,76.5,54.9,40.2,39.2,46.1,46.1
33,Travis Jones,60.4,65.7,74.5,75.5,67.6,12.7,28.4,60.8,61.3,82.4,46.1,79.4
34,Mario Edwards Jr.,59.4,61.8,61.8,66.7,82.4,87.3,17.6,73.5,10.3,30.4,46.1,18.6
35,Daron Payne,59.1,47.5,72.5,76.5,27.5,58.8,72.5,63.7,87.3,40.2,46.1,69.6
36,Kenny Clark,59.1,64.7,79.4,72.5,39.2,13.7,63.7,58.8,83.3,51.0,46.1,60.8
37,Malcolm Roach,56.8,51.5,67.6,33.3,76.5,57.8,26.5,69.6,72.5,75.5,46.1,91.2
38,Adam Butler,55.4,42.2,28.4,96.1,40.2,61.8,81.4,29.4,61.3,76.5,46.1,67.6
39,Karl Brooks,55.1,70.6,82.4,36.3,49.0,72.5,1.0,71.6,72.5,12.3,46.1,26.5
40,L.J. Collier,54.2,49.5,75.5,47.1,57.8,67.6,59.3,68.6,24.0,18.6,46.1,17.6
41,Shelby Harris,54.0,46.1,70.6,48.0,31.4,41.2,85.3,57.8,77.5,26.5,94.1,61.8
42,Keeanu Benton,53.3,77.9,24.5,58.3,85.3,24.0,69.6,34.3,27.0,27.5,46.1,37.3
43,Jer'Zhan Newton,52.6,58.3,57.8,28.4,75.5,37.3,60.8,59.8,24.0,56.9,93.1,25.5
44,Teair Tart,52.5,83.3,63.7,13.7,78.4,22.5,2.0,64.7,46.1,81.4,46.1,66.7
45,Byron Murphy II,52.2,70.6,93.1,40.2,3.4,19.6,56.9,67.6,46.1,62.7,46.1,73.5
46,Morgan Fox,52.2,63.7,69.6,67.6,17.6,54.9,16.7,56.9,12.3,84.3,46.1,71.6
47,DaQuan Jones,52.1,77.9,52.9,46.1,52.0,45.1,42.2,51.0,61.3,3.9,46.1,6.9
48,Solomon Thomas,51.5,51.5,66.7,34.3,34.3,79.4,22.5,66.7,87.3,21.6,99.0,23.5
49,Logan Hall,51.4,53.9,20.6,56.9,69.6,85.3,27.5,35.3,54.9,54.9,46.1,53.9
50,Poona Ford,50.9,47.5,27.5,60.8,83.3,44.1,51.0,40.2,72.5,28.4,46.1,35.3
51,Bryan Bresee,50.8,30.9,44.1,85.3,70.6,83.3,35.3,61.8,10.3,2.0,46.1,1.0
52,Nathan Shepherd,50.3,68.1,25.5,50.0,61.3,34.3,64.7,28.4,40.2,72.5,46.1,52.0
53,A'Shawn Robinson,50.1,33.8,41.2,64.7,21.1,76.5,99.0,41.2,3.9,88.2,92.2,33.3
54,DJ Reader,48.1,40.7,29.4,59.8,77.5,50.0,41.2,38.2,87.3,6.9,46.1,20.6
55,Jeremiah Pharms Jr.,47.1,44.1,54.4,35.3,53.9,43.1,21.6,50.0,77.5,59.8,46.1,75.5
56,Byron Cowart,46.7,45.1,37.3,8.8,61.3,91.2,19.6,55.9,72.5,63.7,46.1,80.4
57,Larry Ogunjobi,45.7,53.9,19.6,53.4,58.8,31.4,44.1,24.5,61.3,68.6,46.1,57.8
58,T'Vondre Sweat,45.5,35.8,49.0,61.8,21.1,27.5,88.2,36.8,61.3,50.0,46.1,43.1
59,Sebastian Joseph-Day,45.0,21.6,36.3,15.7,66.7,73.5,57.8,49.0,54.9,86.3,46.1,96.1
60,Grover Stewart,44.8,28.4,14.7,51.0,25.0,64.7,93.6,18.6,92.2,78.4,46.1,88.2
61,Chris Williams,44.7,53.9,31.4,11.8,94.1,78.4,4.9,65.7,0.5,55.9,46.1,12.7
62,Dante Stills,43.9,28.4,38.2,49.0,47.1,81.4,36.3,47.1,20.1,53.9,46.1,52.9
63,Khalen Saunders,42.6,26.0,30.4,43.1,64.2,48.5,77.5,33.3,2.9,77.5,46.1,36.3
64,Roy Lopez,42.6,58.3,68.6,25.5,37.3,20.6,40.2,53.9,15.7,32.4,46.1,29.4
65,David Onyemata,42.4,38.2,35.3,44.1,28.4,52.9,50.0,32.4,29.4,87.3,46.1,83.3
66,D.J. Jones,42.0,40.7,58.8,26.5,11.8,40.2,31.4,42.2,66.7,98.0,46.1,98.0
67,Folorunso Fatukasi,41.5,26.0,47.1,19.6,52.9,28.4,47.1,45.1,87.3,73.5,46.1,84.3
68,Elijah Chatman,41.0,66.7,64.7,29.4,33.3,17.6,13.7,48.0,15.7,44.1,46.1,9.8
69,Roy Robertson-Harris,40.5,38.2,43.1,17.6,64.2,48.5,6.9,46.1,96.1,15.7,46.1,44.6
70,Jerry Tillery,39.3,43.1,48.0,21.6,72.5,6.4,25.5,44.1,33.8,29.4,96.1,14.7
71,Da'Shawn Hand,38.5,38.2,23.5,45.1,44.1,14.7,46.1,21.6,50.0,49.0,95.1,59.8
72,Benito Jones,38.5,35.8,52.0,23.5,56.9,6.4,37.3,39.2,98.0,8.8,46.1,24.5
73,Rakeem Nunez-Roches,37.3,17.2,8.8,54.9,48.0,56.9,91.2,16.7,15.7,34.3,46.1,34.3
74,T.J. Slaton,37.0,33.8,46.1,14.7,38.2,21.6,29.4,36.8,80.9,60.8,46.1,85.3
75,Jalyn Holmes,36.4,15.2,83.3,1.0,29.4,70.6,5.9,70.6,54.9,19.6,46.1,42.2
76,DaVon Hamilton,35.9,12.3,32.4,55.9,23.5,6.4,67.2,20.6,50.0,99.0,46.1,99.0
77,Jordan Davis,34.7,49.5,51.0,9.8,3.4,71.6,8.8,43.1,29.4,43.1,46.1,31.4
78,Harrison Phillips,34.7,24.5,17.6,58.3,36.3,24.0,83.3,15.7,8.3,36.3,46.1,28.4
79,John Jenkins,33.7,21.6,12.7,31.4,32.4,42.2,89.2,13.7,40.2,52.0,46.1,48.0
80,Daniel Ekuale,32.7,21.6,3.9,68.6,6.9,25.5,96.1,5.9,12.3,70.6,46.1,58.8
81,Otito Ogbonnia,32.3,23.5,42.2,27.5,51.0,6.4,49.0,30.4,4.9,64.7,46.1,16.7
82,Taven Bryan,32.0,70.6,34.3,4.9,3.4,32.4,11.8,25.5,72.5,22.5,46.1,15.7
83,Jeremiah Ledbetter,31.8,9.8,5.9,22.5,43.1,52.0,52.0,10.8,66.7,91.2,46.1,76.5
84,Broderick Washington,31.5,12.3,45.1,37.3,8.8,38.2,18.6,31.4,54.9,31.4,98.0,74.5
85,Davon Godchaux,30.9,30.9,4.9,41.2,7.8,6.4,98.0,2.9,20.1,93.1,46.1,90.2
86,DeWayne Carter,29.6,6.4,18.6,24.5,79.4,6.4,39.2,23.5,96.1,5.9,46.1,11.8
87,Kris Jenkins,29.4,10.8,10.3,39.2,35.3,63.7,62.7,14.7,20.1,17.6,46.1,7.8
88,Jordan Elliott,28.0,28.4,11.8,20.6,45.1,6.4,55.9,8.8,80.9,9.8,46.1,13.7
89,Jonah Laulu,27.8,8.8,22.5,42.2,12.7,18.6,54.9,11.8,33.8,71.6,46.1,82.4
90,Johnathan Hankins,25.5,17.2,26.5,5.9,26.5,30.4,32.4,22.5,33.8,61.8,46.1,65.7
91,Tyler Lacy,24.5,15.2,40.2,16.7,22.5,6.4,24.5,26.5,66.7,24.5,46.1,21.6
92,Mazi Smith,22.9,1.0,6.9,18.6,15.2,47.1,75.5,9.8,27.0,52.9,46.1,38.2
93,Austin Johnson,22.4,32.4,21.6,7.8,19.6,26.5,3.9,17.6,50.0,14.7,46.1,30.4
94,Jonathan Bullard,22.2,2.0,2.9,32.4,9.8,15.7,73.5,3.9,66.7,42.2,46.1,51.0
95,Mike Pennel,21.6,4.4,15.7,2.9,3.4,84.3,10.8,19.6,33.8,66.2,46.1,63.7
96,LaBryan Ray,21.3,6.4,7.8,38.2,10.8,16.7,97.1,6.9,0.5,13.7,46.1,2.9
97,Sheldon Day,20.4,4.4,16.7,10.8,54.9,6.4,12.7,12.7,15.7,69.6,46.1,44.6
98,Jordan Jackson,20.0,13.7,33.3,3.9,25.0,29.4,2.9,27.5,46.1,2.9,46.1,5.9
99,Bobby Brown III,19.9,18.6,1.0,12.7,16.7,6.4,52.9,1.0,24.0,74.5,46.1,62.7
100,Shy Tuttle,19.0,2.9,2.0,30.4,13.7,6.4,100.0,2.0,2.0,37.3,46.1,4.9
101,Tyler Davis,18.7,7.8,13.7,2.0,3.4,35.3,14.7,7.8,40.2,94.1,46.1,86.3
102,Raekwon Davis,13.1,19.6,10.3,6.9,3.4,6.4,9.8,4.9,61.3,1.0,46.1,2.0
