Rank,Name,Analytical Interior Defensive Lineman Score (AIS),Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
1,Cameron Heyward,86.5,95.1,89.2,82.8,89.2,93.1,87.3,96.1,33.8,97.1,46.1,97.1
2,Zach Allen,85.7,85.8,59.8,100.0,100.0,95.1,93.6,95.1,92.2,57.8,46.1,77.5
3,Chris Jones,84.5,100.0,99.0,98.0,95.1,60.8,65.7,100.0,54.9,33.3,46.1,49.0
4,Jalen Carter,84.0,92.2,85.3,99.0,86.3,55.9,78.4,86.3,94.1,35.3,100.0,72.5
5,DeForest Buckner,83.4,93.1,71.6,84.3,84.3,96.1,92.2,85.3,46.1,89.2,46.1,93.1
6,Leonard Williams,83.3,84.3,62.7,91.2,96.1,97.1,68.6,91.2,80.9,92.2,46.1,95.1
7,Osa Odighizuwa,82.4,97.1,87.3,92.2,93.1,74.5,90.2,93.1,15.7,48.0,46.1,39.2
8,Quinnen Williams,81.6,94.1,94.1,86.3,81.4,80.4,71.6,94.1,54.9,47.1,46.1,41.2
9,Jeffery Simmons,81.3,91.2,86.3,87.3,65.7,59.8,95.1,77.5,77.5,95.1,46.1,94.1
10,Dexter Lawrence,80.7,89.2,73.5,82.8,71.6,100.0,84.3,88.2,40.2,67.6,97.1,68.6
11,John Franklin-Myers,79.3,99.0,97.1,62.7,87.3,94.1,7.8,99.0,96.1,45.1,46.1,64.7
12,Vita Vea,76.7,88.2,90.2,89.2,55.9,75.5,43.1,80.4,72.5,79.4,46.1,81.4
13,Kobie Turner,75.4,77.9,95.1,90.2,18.6,88.2,82.4,87.3,66.7,80.4,46.1,92.2
14,Nnamdi Madubuike,74.2,75.0,78.4,97.1,62.7,89.2,45.1,76.0,40.2,85.3,46.1,78.4
15,Jarran Reed,73.4,77.9,92.2,74.5,88.2,53.9,59.3,92.2,24.0,66.2,46.1,70.6
